,peopleCd,movieCd,cast
28188,10072168,20182490,정인지
28281,20235406,20182490,안평
28368,10079524,20182490,학조
28457,10050988,20182490,노승
28535,20151575,20182490,정창손
28656,20339145,20150976,입구위병2
28683,20202246,20150976,어린 자홍
28727,20133615,20150976,박중위
28744,10006228,20150976,덕춘
28795,10057315,20150976,염라대왕 
28829,10021341,20150976,성주신
28876,10060043,20150976,진광대왕
28934,20196246,20150976,귀왕대 
28984,20322111,20150976,자홍부상자1
29017,10049950,20150976,자홍 모
29062,20159884,20150976,통역사병
29085,10058708,20150976,
29157,20132409,20150976,말벌집주인
29178,20294389,20150976,군부대원들
29243,20314345,20150976,소녀의 어머니
29276,20331892,20150976,동료소방관3
29309,20148715,20150976,동료소방관
29329,10087253,20150976,강림
29391,20195894,20150976,불의지옥망자
29419,20209526,20150976,원일병
29494,20344535,20150976,강림 스탠드인
29534,20336307,20150976,박중위 아내
29575,20345374,20150976,초소사병1
29602,20232351,20150976,덕춘 스탠드인
29657,10004218,20150976,저승차사
29679,10054755,20150976,
29736,10053754,20150976,초소사병2 
29784,20335333,20150976,동료소방관2
29801,10062378,20150976,
29865,20332312,20150976,클럽문신남
29886,20153744,20150976,태산대왕
29947,20331368,20150976,수홍부대원2
29964,10003967,20150976,수홍
30024,20235446,20150976,허현동
30045,10069179,20150976,해원맥
30101,20294909,20150976,군부대원들
30134,10050151,20150976,
30184,10006171,20150976,
30212,10071209,20150976,자홍
30266,10006221,20150976,
30333,20339145,20162181,성안교도소 죄수일동
30355,20190036,20162181,내연녀
30408,20276090,20162181,계식
30440,10061276,20162181,보안과장
30454,10066926,20162181,홍표
30527,20344112,20162181,성안교도소 일동
30554,20239308,20162181,아구패거리
30600,20295749,20162181,순시단
30643,20346998,20162181,경찰특공대간부
30670,20246269,20162181,홍표패거리
30715,20314020,20162181,아구패거리
30755,20262392,20162181,성안교도소 죄수일동
30780,20186308,20162181,캉웨이
30836,20111220,20162181,서기태
30874,20313412,20162181,창길패거리
30909,10089421,20162181,법당죄수
30919,10087518,20162181,정익호
30981,10005693,20162181,백정
31024,20332597,20162181,교도관
31062,10004841,20162181,황교사
31077,10062050,20162181,강소장
31115,10004028,20162181,송유건
31175,20273690,20162181,차교도
31198,20227748,20162181,캉웨이패거리2
31247,20290383,20162181,통제실교도관2
31285,20290337,20162181,권과장
31314,20203230,20162181,학규
31352,10040416,20162181,창길
31488,20339145,20152371,서울역 군인
31497,20186265,20152371,연아 동물협회 직원
31519,10006424,20152371,혜원
31538,20147110,20152371,젊은 수현
31561,10005276,20152371,수현
31600,10060043,20152371,수현 부
31628,20113591,20152371,젊은 혜원
31649,20333913,20152371,선영
31677,10062134,20152371,윤과장
31690,20253678,20152371,돌고래쇼 영업부장
31719,10005839,20152371,수의사
31732,10004448,20152371,태호
31758,20233686,20152371,수아
31788,10006497,20152371,일리나 
31823,20269830,20152371,선영친구
31838,10004577,20152371,연아
31870,20161993,20152371,사진가족 엄마
31877,20231467,20152371,젊은 태호
