,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys,watchCd,url,runtime
7008,20100995,라이브 인 3D 휘성 : 잇츠 리얼,Live in 3D WHEESUNG [It’s Real],20100930,한국,6,에스케이텔레콤(주),all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_93%2F1324623921710AFHYf_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,80.0
7009,19940002,드라큐라 애마,Dracula Emma,19941119,한국,5,(주)반도영상,19,,85.0
7010,19730052,엄마결혼식,Mammy'S Wedding,19731222,한국,5,(주)화천공사,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_286%2F1324583336174SX0Er_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,80.0
7011,20108090,흑기사,Ivanhoe,19731024,미국,5,메트로-골드윈-마이어,all,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20160919_247%2F1474261964378dJDxT_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,106.0
7012,19760105,옥중녀,Woman In Jail,19760529,한국,5,태창흥업,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_257%2F13245793720762MIBo_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
7013,19860065,불춤,Fire Dance,19861011,한국,5,화풍흥업,19,,86.0
7014,19830020,귀타귀 2-인혁인/귀타귀(속),Fights Among Ghosts (Sequel),19830101,한국,8,(주)동아수출공사,12,,92.0
7015,19740187,흑발,Dark Hair,19740518,한국,8,신프로덕션,15,,96.0
7016,19718155,어둠속에 벨이 울릴 때,Play Misty for Me,19721013,미국,5,유니버셜 픽쳐스,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_288%2F1324531969856wM36S_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,102.0
7017,20108105,털보 대소동,Blackbeard's Ghost,19720408,미국,7,월트 디즈니 픽쳐스,all,,106.0
7018,19708006,송 오브 노르웨이,Song Of Norway,19720210,미국,20,이십세기폭스필름코퍼레이션,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20130130_158%2F1359535571103ygwjF_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,138.0
7019,19920034,뜨거운 바다,The Hot Ocean,19921017,한국,5,현진필름,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111216_130%2F1324027609262Fw05N_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
7020,19920076,나 이제 너를 잊으리,I Will Forget You Now,19920101,한국,5,스타맥스(주),15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_194%2F1323672732330raApa_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,97.0
7021,20108125,콘돌의 요새,Cannon for Cordoba,19711210,미국,16,유나이티드 아티스트,all,,104.0
7022,19930003,사랑받는 여자,A Woman Who Is Loved,19940129,한국,5,(주)대성영화,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20161018_158%2F1476779166364SXSMi_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,98.0
7023,19930047,배꼽위에 여자,A Woman On The Belly Button,19931112,한국,5,(주)반도영상,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_226%2F1324452272785f2iFE_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,98.0
7024,19910083,성숙한 외출,A Mature Outing,19911012,한국,19,인창영화(주),19,,
7025,19860022,화녀도정,Hwa-Nyuh-Do-Jung,19860412,한국,12,한림영화,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_253%2F1323674710459qI1sb_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
7026,20108156,더 러브,A Place To Call Home,19710619,홍콩,5,쇼 브라더스,all,,89.0
7027,19850069,색깔있는 남자,A Man With Color,19851102,한국,5,세경진흥(주),19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_177%2F1324574518334BHydd_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,105.0
7028,19850010,달빛 멜로디,Moonlight Melody,19850301,한국,5,합동영화(주),19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_31%2F1323672917208WMjdX_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,102.0
7029,20080299,살기 위하여,To Live-Save Our Saemankum,20090416,한국,6,카메라아이필름,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_26%2F13245542273522p74O_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,75.0
7030,19920039,우리가 진정 가야할 곳은,The Place We Must Go To,19940521,한국,1,서진필름,19,,89.0
7031,20070194,천상고원,Heavenly Path,20070531,한국,5,김응수필름,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_22%2F13244685851538e6lv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,75.0
7032,19950062,불륜의 바다,Sea Of Love Affair,19960120,한국,19,유영필림(주),19,,85.0
7033,19900025,검은 도시,Dark City,19900915,한국,4,야성시네마,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_21%2F1323672264958wouf7_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,84.0
7034,19809026,일소일권,A Fight At Hong Kong Ranch,19810101,한국,5,연방영화(주) ,12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_73%2F1324448503246Ckzo4_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,95.0
