,peopleCd,movieCd
343,20283969,20177539
344,20210767,20177539
345,20300393,20177539
346,10060462,20177539
347,10000970,20176251
348,10040668,20176251
349,20111735,20177538
350,10055945,20153446
351,10019069,20161481
352,20203375,20161481
353,20216346,20161481
354,10031641,20158485
355,2O110669,20159647
356,10031356,20159647
357,10057277,20159647
358,20254349,20159647
359,20138632,20167829
360,20177441,20167829
361,10004413,20167829
362,20110508,20161366
363,20290239,20161366
364,10021332,20161366
365,10005717,20150968
366,20111288,20150968
367,10057103,20145507
368,10054495,20145507
369,10021332,20156557
370,20155901,20156557
371,10005643,20156557
372,10000854,20140703
373,10029969,20140703
374,20211566,20140703
375,20186696,20134804
376,20125862,20134804
377,10000946,20134804
378,10057103,20123501
379,10054495,20123501
380,20131894,20123501
381,10062186,20123501
382,20221426,20138224
383,20114191,20138224
384,10087712,20126091
385,20222226,20124080
386,10060063,20124080
387,20131894,20124080
388,20153842,20119627
389,10027774,20119627
390,20123348,20090892
391,20153480,20090892
392,10002567,20090892
393,10028999,20090892
394,20144326,20081209
395,10008169,20081209
396,20123348,20070504
397,10006261,20070504
398,20303130,20200295
399,20332193,20200295
400,20273309,20200295
401,10019069,19990069
402,10031641,19990069
403,10058049,19990069
404,10060507,19990069
405,10027802,19990069
406,20191068,19990069
407,10077374,19990069
408,10002170,19990069
409,10054465,20196264
410,10050399,20196264
411,20238528,20186649
412,20183861,20186649
413,20311449,20182590
414,20311449,20209802
415,20191708,20200304
416,20303629,20200304
417,20235068,20200304
418,10054989,20200304
419,10056203,20197863
420,10036887,20197863
421,20187944,20197863
422,10071281,20197863
423,10006604,20197863
424,10044133,20197863
425,10037451,20197863
426,10084673,20197863
427,10056203,20177784
428,10036887,20177784
429,20187944,20177784
430,10071281,20177784
431,10006604,20177784
432,10044133,20177784
433,10037451,20177784
434,10084673,20177784
435,20111283,20180939
436,10036907,20183002
437,10005151,20192206
438,10058053,20192206
439,20255105,20191106
440,20305449,20185161
441,10012198,20185161
442,20112542,20181198
443,20191668,20181198
444,20153456,20174442
445,20333392,20154908
446,20144326,20154908
447,10072983,20154908
448,10057552,20173734
449,20113602,20173734
450,20175184,20173734
451,20111288,20173734
452,10058049,20179383
453,10054828,20174010
454,20222286,20174010
455,20166555,20178781
456,10071129,20178781
457,20298689,20170590
458,10060507,20170590
459,20299130,20170590
460,10062256,20169643
461,20243789,20169643
462,10059012,20169643
463,10088095,20169643
464,20171120,20169643
465,10060674,20162869
466,20254416,20168161
467,20112454,20168161
468,10089413,20168161
469,20380435,20161589
470,20111288,20161589
471,10057210,20161589
472,10058842,20154910
473,20263809,20154910
474,10004662,20154910
475,10038756,20154910
476,20140497,20161722
477,10002140,20152541
478,10054518,20157465
479,10019069,20148048
480,20224635,20148048
481,20181542,20148927
482,20153417,20148927
