,movieCd,showTime
357,20217121,107
358,20209627,112
359,20191503,90
360,20190726,78
361,20211487,177
362,20196801,110
363,20201748,79
364,20217167,108
365,20218653,85
366,20201876,97
367,20196006,108
368,20210168,104
369,20211195,87
370,20211476,78
371,20060277,139
372,20010036,116
373,20209270,131
374,20203824,126
375,20207584,95
376,19820012,101
377,20010007,112
378,20210369,66
379,20219446,93
380,20218909,65
381,20210388,85
382,19970035,97
383,20209948,72
384,20010023,94
385,20190969,109
386,20177539,122
387,20210577,97
388,20211030,98
389,20209946,99
390,20194980,86
391,20000243,108
392,19790106,90
393,20219096,91
394,20196270,113
395,20210384,135
396,20210381,98
397,20181613,74
398,20209138,101
399,20218758,110
400,20195002,113
401,19930086,100
402,19869057,94
403,19850019,85
404,20178401,100
405,20192194,93
406,20192697,97
407,20215108,91
408,20050017,120
409,20010017,155
410,19940020,110
411,19980028,98
412,19960055,109
413,20209206,77
414,20190601,84
415,19920246,91
416,20196749,97
417,20191785,83
418,20190815,109
419,20218885,82
420,20204132,74
421,19990056,97
422,20080637,109
423,20050232,129
424,20191546,83
425,20124013,103
426,20173734,113
427,20020238,106
428,20144444,144
429,19850069,105
430,20120425,102
431,20140704,102
432,20127027,98
433,19950123,132
434,20209949,82
435,20219466,77
436,20209134,118
437,20218986,79
438,20192623,99
439,20081656,64
440,20040606,87
441,20112861,72
442,20101346,85
443,20090842,70
444,20201784,103
445,20207582,99
446,20205521,76
447,20181741,90
448,20101116,82
449,20217174,79
450,20020053,120
451,20201002,116
452,19990317,95
453,20050355,139
454,20218790,121
455,19900248,117
456,19900118,107
457,19870114,115
458,20194915,74
459,19860031,104
460,20202185,109
461,20219726,59
462,19930125,120
463,20101233,106
464,20132796,108
465,20193642,79
466,20193666,109
467,19970316,105
468,19980086,138
469,20198501,106
470,19950012,98
471,20218364,130
472,20189326,105
473,20199816,113
474,20101013,120
475,19940321,99
476,19940161,97
477,19970209,84
478,20198053,111
479,20060423,129
480,20000229,115
481,20176041,88
482,20199022,100
483,20190469,80
484,20150968,125
485,20163098,96
486,20153741,99
487,20158482,110
488,20143513,125
489,20196759,102
