,movie,sentence,score,movieCd,movieNm
4545,자백,진실은 언제나 하나!!,8,20198429,자백
4546,자백,진실은 언제나 하나!!,8,20163041,자백
4547,늑대사냥,1점도아깝노 너무이상하다...이상해..이상해씨~,1,20211472,늑대사냥
4548,늑대사냥,서인국배우님 연기에 한번 더 놀라고 갑니다 다들 연기를 너무 잘하셔서 몰입감 최고,10,20211472,늑대사냥
4552,자백,원작에 아주 충실했지만 배우들의 연기가 좋아서 몰입하게됨. 그래서 원작을 알고 가면 지루할듯,6,20198429,자백
4553,자백,원작에 아주 충실했지만 배우들의 연기가 좋아서 몰입하게됨. 그래서 원작을 알고 가면 지루할듯,6,20163041,자백
4554,리멤버,코시국이후 오랜만에 극장갔는데 재미있게 잘 봤네요~주연배우들연기도 좋고 마지막 반전도 좋았네요~ 추천합니다,10,20198461,리멤버
4555,자백,속도가 빨라서 지루하지 않아 좋았어요! 반전도 강렬했고 오랜만에 영화관에서 보는 정통 스릴러라 전체적으로 기분 좋은 영화 관람이었습니다 &amp;gt;&amp;lt;,10,20198429,자백
4556,자백,속도가 빨라서 지루하지 않아 좋았어요! 반전도 강렬했고 오랜만에 영화관에서 보는 정통 스릴러라 전체적으로 기분 좋은 영화 관람이었습니다 &amp;gt;&amp;lt;,10,20163041,자백
4557,리멤버,아무말도 못하고 숨죽여 본,10,20198461,리멤버
4558,리멤버,많이 실망스럽네요...,1,20198461,리멤버
4559,늑대사냥,피만튀기고 내용이없네 ㅋㅋㅋ,1,20211472,늑대사냥
4560,리멤버,왜 결국 자신에겐 관대했나? 관대하지 말았어야 했거늘,9,20198461,리멤버
4565,자백,원작을 너무 재밌게 봐서 미리 10점 준다,10,20198429,자백
4566,자백,원작을 너무 재밌게 봐서 미리 10점 준다,10,20163041,자백
4567,자백,반전에 반전을 거듭하며 마지막까지 긴장을 놓을 수 없는 올해 최고의 영화,10,20198429,자백
4568,자백,반전에 반전을 거듭하며 마지막까지 긴장을 놓을 수 없는 올해 최고의 영화,10,20163041,자백
4569,자백,김윤진이 선재 엄마라는게 알려진 순간 이미 결말을 알아버렸고 나의 슬펐던 감정과 모든 감정들이 메말라버렸다.. 아마 그걸 느끼는 사람도 있지 않을까??? ,5,20198429,자백
