,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
42667,20210671,김한울,감독,당신의 부탁,20177962
42672,20216546,이승원,감독,소통과 거짓말,20155324
42707,20125818,김익로,감독,서부전선,20140193
42720,10049776,여인광,감독,아이스케키,20060229
42753,20221426,김수정,감독,잠복근무,20050013
42754,10006480,김회근,감독,잠복근무,20050013
42755,10062006,정용기,감독,잠복근무,20050013
42756,10028466,박광춘,감독,잠복근무,20050013
42757,10048487,에밀리오 에스테베즈,감독,잠복근무,20050013
42758,10067881,존 바담,감독,잠복근무,20050013
42759,20113251,이정욱,감독,잠복근무,20050013
42785,20153728,전인환,감독,열두 번째 용의자,20191783
42786,20239788,김범수,감독,열두 번째 용의자,20191783
42787,20141478,고명성,감독,열두 번째 용의자,20191783
42800,20234306,김도원,감독,레나,20159447
42812,20110735,박상현,감독,권법형사 : 차이나타운,20159422
42818,20189601,김성무,감독,선지자의 밤,20149457
42841,10031641,봉준호,감독,해무(海霧),20134082
42842,20110970,박현철,감독,해무(海霧),20134082
42843,10040850,심성보,감독,해무(海霧),20134082
42872,20132141,김희영,감독,퇴마: 무녀굴,20158481
42873,10003489,김휘,감독,퇴마: 무녀굴,20158481
42883,10079546,태준식,감독,"씨, 베토벤",20147987
42884,10029350,박진순,감독,"씨, 베토벤",20147987
42923,20128609,이승준,감독,퀵,20110290
42924,20164846,김용완,감독,퀵,20110290
42925,10054492,윤제균,감독,퀵,20110290
42926,10065847,조범구,감독,퀵,20110290
42941,20240026,김현주,감독,달빛궁궐,20166541
42942,20111134,손현희,감독,달빛궁궐,20166541
42951,10005660,김종관,감독,최악의 하루,20155321
42968,10006204,김한민,감독,사냥,20154906
42969,20186154,오원재,감독,사냥,20154906
42970,20204507,김덕근,감독,사냥,20154906
42971,10005015,김영조,감독,사냥,20154906
42972,10056854,이우철,감독,사냥,20154906
42973,20189647,송은주,감독,사냥,20154906
42974,20247715,조영준,감독,사냥,20154906
42975,10073546,카를로스 사우라,감독,사냥,20154906
42999,10062256,정지우,감독,잉투기,20130482
43000,10057552,이지승,감독,잉투기,20130482
43001,20283969,이다나,감독,잉투기,20130482
43002,10029478,박헌수,감독,잉투기,20130482
43003,10047368,엄태화,감독,잉투기,20130482
43004,10089518,홍석재,감독,잉투기,20130482
43005,10060507,장준환,감독,잉투기,20130482
43006,10006261,김현석,감독,잉투기,20130482
43007,10006085,김태균,감독,잉투기,20130482
43008,10029380,박찬옥,감독,잉투기,20130482
43018,20112401,문시현,감독,피에타,20124934
43019,10003696,김기덕,감독,피에타,20124934
43042,10057103,이일형,감독,비스티 보이즈,20080394
43043,10054495,윤종빈,감독,비스티 보이즈,20080394
43044,20110970,박현철,감독,비스티 보이즈,20080394
43068,20237286,정가영,감독,숏버스 이별행,20218909
43069,20377544,서태범,감독,숏버스 이별행,20218909
43070,20376947,유현,감독,숏버스 이별행,20218909
43071,20255969,강산,감독,숏버스 이별행,20218909
43072,20351585,김홍기,감독,숏버스 이별행,20218909
43073,20345473,양채연,감독,숏버스 이별행,20218909
43074,20328052,김세희,감독,숏버스 이별행,20218909
43075,20326114,양소영,감독,숏버스 이별행,20218909
43076,20267011,김지환,감독,숏버스 이별행,20218909
43077,20238828,이반석,감독,숏버스 이별행,20218909
43130,20237286,정가영,감독,좀비크러쉬: 헤이리,20201786
43131,20309700,이창교,감독,좀비크러쉬: 헤이리,20201786
43132,20172723,장현상,감독,좀비크러쉬: 헤이리,20201786
43133,20186574,장현영,감독,좀비크러쉬: 헤이리,20201786
43134,20210847,황호길,감독,좀비크러쉬: 헤이리,20201786
