num,movie,sentence,score
81,늑대사냥,10년된 배테랑 형사들로 배치 했다더니 개뿔 총도 제대로 못쓰고 싸움도 못함 누가 보면 초짜 형사들로만 구성한줄 알겠던데.. 동료가 옆에서 죽고 피가 솟구치는 총들고 멍때림 거기다 수십명의 살인범 범죄자 이송하는데 호위함 1척 정도 띄워야 하지 않음 ? 배안에서 무슨 일이 일어날지 모르는데 말이죠. 이영화 실패 원은은 중반에 나오는 터미네이터 인간좀비 아저씨 뜬금포 등장임! 그냥 선박안에서 경찰vs범죄자 싸움이 였으면 중박은 갔음,1
82,20세기 소녀,정말 재밌지만 너무 슬픈 영화. 이렇게 슬플줄 몰랐다ㅜㅜㅜㅜ,10
83,20세기 소녀,진짜 완전 몰입해서 봤어요…앤딩 볼때 우는건 덤이고요…지금 두 번 봐서 이제야 겨우 일상생활 가능,10
84,치외법권,임창정연기좋고 잼있네요 최다니엘도 좋고 경각심도 생길수있고 좋은영화에요,10
85,리멤버,아카데미 남우주연상...사랑해요정말 연기가 멋있고 감동 연기는 이런것..,10
86,자백,"사전정보 없이 관람하는데 어딘가 익숙한 스토리,, 원작을 봤던터라 어떻게 각색했을까 하며 봤어요, 배우 분들 연기도 좋고 재밌게 봤지만 반전의 임팩트는 원작이 더 강렬하네요",8
87,정직한 후보2,ㅋㅋㅋ C급 코미디. 3편은 만들지 마라.,5
88,일라이,예상 밖의 결말.이런 반전 공포영화 환영해요. ,10
89,보안관,배우들이 하드캐리 해주신 영화,8
90,신비한 동물들과 덤블도어의 비밀,누군가는 사랑을 이뤘고누군가는 사랑을 잃었다.,7
91,녹색 광선,주인공이 이해가지 않다가도 왠지 모르게 동질감을 느끼게된다,8
92,카사블랑카,그 시대에 이런 영화를 만들다니..,9
93,스마일,보다가 정신나갈것같긴했는데 재밌었음,10
94,오네긴,"섬세한 연기, 소품, 메마른 배경...영화에 몰입하기에 부족함이 없었다",8
