,movieCd,auditNo,watchGradeNm
0,20223722,2022-MF00608,청소년관람불가
0,20224142,2022-MF00689 ,전체관람가
0,20223799,2022-MF00373,전체관람가
0,20217427,2021-MF00199 ,청소년관람불가
0,20211931,2021-MF02534 ,15세이상관람가
0,20209186,2022-MF00143,12세이상관람가
0,20210690,2021-MF01680 ,15세이상관람가
0,20211549,2021-MF02920 ,전체관람가
0,20198303,2019-MF01490,15세이상관람가
0,20212618,2022-MF00708,전체관람가
0,20190470,2019-MF01349,전체관람가
0,20209143,2021-MF01911,12세이상관람가
0,20158358,2017-MF02097,15세이상관람가
0,20071054,95-143,고등학생이상관람가
1,20071054,2021-MF00133,15세이상관람가
0,20200295,2021-MF00920,12세이상관람가
0,20120108,2013-F111,15세이상관람가
0,20167867,2016-MF01262,15세이상관람가
0,20200302,2021-MF00576,12세이상관람가
0,19980011,K98-241,12세 미만인 자는 관람할 수 없는 등급
0,20101229,,15세이상관람가
0,19900105,90-158,중학생이상관람가
0,20191041,2022-MF00141,12세이상관람가
0,20223326,2022-MF00051 ,12세이상관람가
0,20208006,2022-MF00263 ,청소년관람불가
0,20188441,2021-MF03045 ,15세이상관람가
0,20134122,2014-MF00298 ,청소년관람불가
0,20111250,2011-F349,청소년관람불가
0,20175407,2019-MF00359,15세이상관람가
0,20184133,2019-MF02127,15세이상관람가
0,20181103,2019-MF01528,15세이상관람가
0,20205261,2022-MF00112,전체관람가
0,20197961,2021-MF02867 ,15세이상관람가
0,20223124,2022-MF00150,12세이상관람가
0,20216082,2021-MF01451,전체관람가
0,20176251,2018-MF01859,15세이상관람가
0,20181434,2019-MF02180,15세이상관람가
0,20216432,2021-MF00551,15세이상관람가
0,20200292,2022-MF00017 ,전체관람가
0,20223714,2022-MF00166 ,전체관람가
0,20223415,2021-MF03214 ,12세이상관람가
0,20190665,2020-MF00509 ,15세이상관람가
0,20212952,2021-MF03152 ,전체관람가
0,20209185,2021-MF03219,15세이상관람가
0,19800052,5932,연소자관람불가
0,19730041,,12세이상관람가
0,19840062,,국민학생관람불가
0,19830051,6169,연소자관람불가
0,19790065,,국민학생관람불가
0,19799096,,국민학생관람불가
0,19820026,6041,국민학생관람불가
0,19780046,,12세이상관람가
0,20212705,2021-MF02863 ,15세이상관람가
0,20199882,2021-MF03006 ,15세이상관람가
0,20101110,2010-F436 ,12세이상관람가
0,20204144,2021-MF02134,15세이상관람가
0,20192354,2021-MF01429,15세이상관람가
0,20201965,2021-MF03221,12세이상관람가
0,20060250,2006-F297 ,15세관람가
0,19970064,99-F122,18세관람가
0,20040666,2004-F249,18세관람가
0,19980150,97-28,연소자관람불가
0,20192599,2021-MF03034,12세이상관람가
0,20050076,2005-F091,18세관람가
0,20213004,2022-MF00074,전체관람가
0,20211581,2021-MF02864 ,15세이상관람가
0,20207569,2021-MF02921 ,12세이상관람가
0,20196264,2020-MF00343 ,15세이상관람가
0,20191282,2021-MF02075,12세이상관람가
0,20195959,2021-MF02943 ,전체관람가
0,20217807,2021-MF03065,12세이상관람가
0,20172469,2018-MF01042,12세이상관람가
0,20070063,2007-F221,전체관람가
0,20210243,2021-MF02142,12세이상관람가
0,20189076,2018-MF01716,전체관람가
0,20210689,2021-MF02008 ,15세이상관람가
0,20030350,2003-F295,18세관람가
0,20159644,2016-MF00787,12세이상관람가
0,20211241,2021-MF02698,전체관람가
0,19960040,96-225,연소자관람불가
0,20218884,2021-MF01446,15세이상관람가
0,19830029,2021-MF03115,15세이상관람가
1,19830029,,연소자관람불가
0,19770058,2021-MF03114,12세이상관람가
1,19770058,,12세이상관람가
0,20101394,,12세이상관람가
1,20101394,2021-MF03095,12세이상관람가
0,19790061,,국민학생관람불가
0,19820066,6088,연소자관람불가
0,20209182,2021-MF02696 ,15세이상관람가
0,20204388,2021-MF02838 ,청소년관람불가
0,20060365,2006-F382,15세이상관람가
1,20060365,2017-MF02079,15세이상관람가
0,20218647,2021-MF01479 ,12세이상관람가
0,20030131,2003-F139,12세관람가
0,20159646,2016-MF01237,15세이상관람가
0,20072152,2008-F261,15세이상관람가
0,20209926,2020-MF02923,15세이상관람가
0,20190582,2020-MF02415 ,12세이상관람가
0,20192193,2020-MF01054 ,12세이상관람가
0,20176102,2017-MF01015,청소년관람불가
0,20209184,2021-MF02065,12세이상관람가
0,20211945,2021-MF02067 ,12세이상관람가
0,20050270,2005-F285,12세관람가
0,20205986,2021-MF02285 ,15세이상관람가
0,20000067,99-F147,전체관람가
1,20000067,2013-F61 ,전체관람가
0,20210038,2021-MF01977 ,청소년관람불가
0,20206464,2021-MF02429,15세이상관람가
0,20211700,2021-MF02072,15세이상관람가
0,20030153,2003-F276,12세관람가
0,20210756,2021-MF02554,15세이상관람가
0,19950190,95-125,고등학생이상관람가
1,19950190,2021-MF02632 ,15세이상관람가
0,20218872,2021-MF02804 ,전체관람가
0,20209021,2020-MF00950 ,15세이상관람가
0,20191243,2021-MF00454,15세이상관람가
0,19990193,99-102,12세 미만인 자는 관람할 수 없는 등급
0,20182530,2018-MF02462,15세이상관람가
0,20203286,2021-MF02678 ,청소년관람불가
0,20218258,2021-MF02458,12세이상관람가
0,20209299,2021-MF02571,전체관람가
0,20183003,2020-MF02627,15세이상관람가
0,20189638,2021-MF01595,전체관람가
0,20202462,2021-MF01976 ,12세이상관람가
0,20211413,2021-MF02836 ,전체관람가
0,20207587,2021-MF01232,12세이상관람가
0,20209295,2021-MF01258,12세이상관람가
0,20151782,2015-MF00604,청소년관람불가
0,20050162,2005-F284,12세관람가
0,20217121,2021-MF01288 ,15세이상관람가
0,20209627,2021-MF00218 ,15세이상관람가
0,20191503,2021-MF02339 ,15세이상관람가
0,20190726,2021-MF00085,12세이상관람가
0,20211487,2021-MF02552 ,12세이상관람가
0,20196801,2021-MF00434,12세이상관람가
0,20201748,2020-MF02442,12세이상관람가
0,20217167,2021-MF02376,12세이상관람가
0,20218653,2021-MF01884,15세이상관람가
0,20201876,2021-MF02514,전체관람가
0,20196006,2021-MF02496,12세이상관람가
0,20210168,2021-MF02321 ,15세이상관람가
0,20211195,2021-MF02071,15세이상관람가
0,20211476,2021-MF02428,전체관람가
0,20060277,2006-F289,18세관람가
0,20010036,2001-F107,15세관람가
0,20209270,2021-MF02002,12세이상관람가
0,20203824,2021-MF02323 ,12세이상관람가
0,20207584,2021-MF02416 ,전체관람가
0,19820012,6060,연소자관람불가
1,19820012,2021-MF02200,청소년관람불가
0,20010007,2001-F289,12세관람가
0,20210369,2021-MF02068,15세이상관람가
0,20219446,2021-MF01609,12세이상관람가
0,20218909,2021-MF01331,15세이상관람가
0,20210388,2021-MF02054 ,15세이상관람가
0,19970035,97-107,연소자관람불가
0,20209948,2020-MF02768,12세이상관람가
0,20010023,2001-F206,18세관람가
0,20190969,2021-MF01731,15세이상관람가
0,20177539,2019-MF00135,15세이상관람가
0,20210577,2021-MF02448,전체관람가
0,20211030,2021-MF00477,청소년관람불가
0,20209946,2020-MF02263 ,15세이상관람가
0,20194980,2020-MF01742,전체관람가
0,20000243,2000-F137,18세관람가
0,19790106,,미성년자관람불가
0,20219096,2021-MF01763,전체관람가
0,20196270,2021-MF01904,12세이상관람가
0,20210384,2021-MF02183,전체관람가
0,20210381,2021-MF02265,12세이상관람가
0,20181613,2021-MF01712,전체관람가
0,20209138,2021-MF01959 ,12세관람가
0,20218758,2021-MF01903,15세이상관람가
0,20195002,2019-MF02223,12세이상관람가
0,19930086,93-35,중학생이상관람가
0,19869057,87-79,고등학생이상관람가
1,19869057,2008-F308,15세이상관람가
0,19850019,6318,국민학생관람불가
0,20178401,2020-MF01178 ,15세이상관람가
0,20192194,2021-MF01651 ,15세이상관람가
0,20192697,2020-MF02888,15세이상관람가
0,20215108,2021-MF00149,15세이상관람가
0,20050017,2005-F067,18세관람가
0,20010017,2001-F220,15세관람가
0,19940020,94-301,연소자관람불가
0,19980028,K98-186,18세 미만인 자는 관람할 수 없는 등급
0,19960055,96-87 ,연소자관람불가
0,20209206,2021-MF01205,15세이상관람가
0,20190601,2020-MF02080,15세이상관람가
0,19920246,91-376,중학생이상관람가
1,19920246,2021-MF02569,15세이상관람가
0,20196749,2021-MF01964,12세이상관람가
0,20191785,2020-MF02244,전체관람가
0,20190815,2021-MF02024,15세이상관람가
0,20218885,2021-MF01774,12세이상관람가
0,20204132,2021-MF01981 ,전체관람가
0,19990056,99-F197,12세관람가
0,20080637,2008-F407,15세이상관람가
0,20050232,2005-F259 ,15세관람가
0,20191546,2019-MF02472,전체관람가
0,20124013,2012-F481,15세이상관람가
0,20173734,2018-MF01568,15세이상관람가
0,20020238,2002-F248,12세관람가
0,20144444,2016-MF00708 ,청소년관람불가
0,19850069,85-64,연소자관람불가
0,20120425,2013-MF00586 ,15세이상관람가
0,20140704,2016-MF00835 ,청소년관람불가
0,20127027,,
0,19950123,95-4,연소자관람불가
1,19950123,2021-MF02455,15세이상관람가
0,20209949,2021-MF01447,12세이상관람가
0,20219466,2021-MF01546,15세이상관람가
0,20209134,2020-MF02925,전체관람가
0,20218986,2021-MF01442,15세이상관람가
0,20192623,2020-MF01676,15세이상관람가
0,20081656,2009-F56,15세이상관람가
0,20040606,2004-F183,12세관람가
0,20112861,2012-F161 ,청소년관람불가
0,20101346,2010-F488 ,15세이상관람가
0,20090842,2009-F419,12세이상관람가
0,20201784,2021-MF00960,청소년관람불가
0,20207582,2021-MF00763,12세이상관람가
0,20205521,2021-MF01785,12세이상관람가
0,20181741,2018-MF00210,전체관람가
0,20101116,2010-F445 ,전체관람가
0,20217174,2021-MF00685,전체관람가
0,20020053,2002-F101,18세관람가
0,20201002,2020-MF02611 ,15세이상관람가
0,19990317,99-F181,12세관람가
0,20050355,2006-F034,18세관람가
0,20218790,2021-MF01803,15세이상관람가
0,19900248,90-211,연소자관람가
0,19900118,90-3,중학생이상관람가
1,19900118,2015-MF01199 ,12세이상관람가
0,19870114,87-105,중학생이상관람가
1,19870114,2015-MF01207 ,12세이상관람가
0,20194915,2021-MF00928,12세이상관람가
0,19860031,86-68,연소자관람불가
1,19860031,2021-MF02201,청소년관람불가
0,20202185,2021-MF01675,15세이상관람가
0,20219726,2021-MF01946,전체관람가
0,19930125,93-44,중학생이상관람가
0,20101233,2011-F499,15세이상관람가
0,20132796,2014-MF01177 ,15세이상관람가
0,20193642,2019-MF01471,전체관람가
0,20193666,2020-MF01825 ,12세이상관람가
0,19970316,K97-4,15세 미만인 자는 관람할 수 없는 등급 
0,19980086,K98-34,15세 미만인 자는 관람할 수 없는 등급 
0,20198501,2021-MF00128,12세이상관람가
0,19950012,90-311,연소자관람불가
1,19950012,2021-MF01350 ,청소년관람불가
0,20218364,2021-MF01625,청소년관람불가
0,20189326,2021-MF01643 ,12세이상관람가
0,20199816,2020-MF02054 ,12세이상관람가
0,20101013,2010-F400,15세이상관람가
0,19940321,94-309,연소자관람불가
0,19940161,94-177,청소년관람불가
0,19970209,97-194,연소자관람불가
0,20198053,2020-MF02714,12세이상관람가
0,20060423,2007-F034,15세이상관람가
0,20000229,2000-F185,12세관람가
0,20176041,2017-MF00960,12세이상관람가
0,20199022,2020-MF00449,전체관람가
0,20190469,2021-MF01291,전체관람가
0,20150968,2016-MF01062 ,12세이상관람가
0,20163098,2016-MF00450 ,전체관람가
0,20153741,2016-MF01641,15세이상관람가
0,20158482,2015-MF01657 ,12세이상관람가
0,20143513,2015-MF00611,15세이상관람가
0,20196759,2021-MF00645,전체관람가
0,20218815,2021-MF01805,전체관람가
0,19720031,,12세이상관람가
0,20142405,2020-MF03036,15세이상관람가
0,20194461,2021-MF01245,15세이상관람가
0,19900174,90-78,연소자관람가
0,20020213,2002-F204,15세관람가
0,20183407,2019-MF01891,15세이상관람가
0,20218240,2021-MF01128 ,15세이상관람가
0,19850008,6305,연소자관람불가
0,20148534,2014-MF00442 ,청소년관람불가
1,20148534,2014-MF00443 ,청소년관람불가
0,20218016,2021-MF01307 ,청소년관람불가
0,20201786,2021-MF01403,15세이상관람가
0,20172464,2019-MF00697,12세이상관람가
0,19970024,97-221,연소자관람가
0,20200303,2021-MF01406,15세이상관람가
0,20199563,2021-MF01180 ,12세이상관람가
0,20202625,2020-MF02637 ,15세이상관람가
0,20217103,2021-MF01549,15세이상관람가
0,19810038,6021,연소자관람불가
0,19800129,5941,연소자관람불가
1,19800129,2021-MF01235,청소년관람불가
0,20192696,2021-MF01468,15세이상관람가
0,20186649,2021-MF00362,15세이상관람가
0,20198161,2021-MF01357 ,15세이상관람가
0,20070262,2007-F260,15세이상관람가
0,20050123,2005-F161,18세관람가
0,20217330,2021-MF00616 ,12세이상관람가
0,20217892,2021-MF01309,전체관람가
0,20110254,2011-F319,청소년관람불가
0,20200246,2020-MF01997,전체관람가
0,19910355,91-107,연소자관람가
0,20216241,2021-MF00995,12세이상관람가
0,20080910,2021-MF01126,청소년관람불가
1,20080910,,청소년관람불가
0,19940047,94-70,연소자관람불가
0,19890010,89-52,연소자관람불가
0,20182466,2018-MF01678,청소년관람불가
0,19910011,91-127,연소자관람불가
0,20214763,2021-MF00751,12세이상관람가
0,20070358,2007-F248 ,12세이상관람가
0,20190683,2021-MF00544,15세이상관람가
0,20184541,2018-MF00933,12세이상관람가
0,20183137,2019-MF00370,12세이상관람가
0,20198663,2021-MF00002,15세이상관람가
0,20188462,2019-MF01988,전체관람가
0,20198484,2020-MF01920,12세이상관람가
0,20195962,2020-MF02251,전체관람가
0,19920065,92-127,연소자관람불가
0,19880034,88-131,연소자관람불가
0,20217898,2021-MF01074,12세이상관람가
0,20201747,2020-MF02419 ,12세이상관람가
0,20196753,2020-MF00246,전체관람가
0,20191030,2021-MF01109,12세이상관람가
0,20181206,2021-MF00237,전체관람가
0,20198950,2020-MF02843,전체관람가
0,20193068,2021-MF00912 ,전체관람가
0,20209144,2021-MF00506,전체관람가
0,20217448, 2021-MF00435 ,청소년관람불가
0,20215967,2021-MF00525,15세이상관람가
0,20196675,2020-MF02392,15세이상관람가
0,20197391,2021-MF00026,청소년관람불가
0,20203673,2021-MF00028,12세이상관람가
0,20181168,2019-MF01707,15세이상관람가
0,20010084,2001-F368,전체관람가
0,20199630,2020-MF01701 ,청소년관람불가
0,20090683,2009-F191,15세이상관람가
1,20090683,2016-MF00801,15세이상관람가
0,20209947,2021-MF00150,12세이상관람가
0,20194501,2021-MF00843,15세이상관람가
