,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
3187,20050339,안개속의 풍경,Landscape in the Mist,1988.0,19960921.0,장편,개봉,"그리스,이탈리아,프랑스",드라마,그리스,드라마,테오 앙겔로풀로스,세일
3188,19770001,욕망의 모호한 대상,That Obscure Object Of Desire,1977.0,19990327.0,장편,개봉,"프랑스,스페인",드라마,프랑스,드라마,루이스 브뉘엘,그리니치 필름 프로덕션
3189,19990104,포르노 그래픽 어페어,An Affair Of Love,1999.0,20001202.0,장편,개봉,"프랑스,벨기에,스위스,룩셈부르크","멜로/로맨스,드라마",프랑스,멜로/로맨스,프레더릭 폰테인,르 스튜디오 카날+
3190,20112979,희생,The Sacrifice,1986.0,19950525.0,장편,개봉,"스웨덴,영국,프랑스",드라마,스웨덴,드라마,안드레이 타르코프스키,아르고스필름즈
3191,20148623,블랙딜,Black Deal,2014.0,20140703.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이조훈,(주)인디플러그
3192,20070433,행복,Happiness,2007.0,20071003.0,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,허진호,라이필름
3193,20081146,초대받은 사람들,The Invited Ones,1981.0,19811024.0,장편,개봉,한국,드라마,한국,드라마,최하원,동아흥행㈜
3194,20050312,눈부신 하루,One Shining Day,2005.0,20060223.0,옴니버스,개봉,한국,드라마,한국,드라마,김성호,㈜인디스토리
3195,20143753,비치하트애솔,Bitch Heart Asshole,2014.0,20150129.0,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,이난,윤윤상회
3196,20125246,부곡 하와이,Illusionary Paradise,2013.0,20150430.0,장편,개봉,한국,드라마,한국,드라마,하강훈,로드 시네마
3197,20124933,황제펭귄 펭이와 솜이,Pengi and Sommi,2012.0,20120808.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김진만,(주)MBC
3198,20134591,황제를 위하여,For the Emperor,2014.0,20140611.0,장편,개봉,한국,"액션,범죄",한국,액션,박상준,오퍼스픽쳐스(유)
3199,20070209,화려한 휴가,May 18,2007.0,20070725.0,장편,개봉,한국,드라마,한국,드라마,김지훈,기획시대(주)
3200,20111074,해로 (偕老),Hand in Hand,2011.0,20120322.0,장편,개봉,한국,드라마,한국,드라마,최종태,(주)고유에프앤
3201,20125208,할머니는 일학년,Granny Goes to School,2012.0,20120524.0,장편,개봉,한국,"가족,드라마",한국,가족,진광교,(주)아피아스튜디오 
3202,20130961,하늘의 황금마차,Golden Chariot in the Sky,2013.0,20140904.0,장편,개봉,한국,드라마,한국,드라마,오멸,국가인권위원회
3203,20090670,하늘과 바다,Sky and Sea,2009.0,20091028.0,장편,개봉,한국,드라마,한국,드라마,오달균,(주)라원문화
3204,20112702,핑크,Pink,2011.0,20120315.0,장편,개봉,한국,드라마,한국,드라마,전수일,(주)동녘필름
3205,20148670,피해자들,The Suffered ,2014.0,20140731.0,장편,개봉,한국,"미스터리,스릴러",한국,미스터리,노진수,(주)노시스에프앤디
3206,20148901,프랑스인 김명실,Winter Garden,2014.0,20140626.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이지현,롱메트라지필름
3207,20130982,풍경,Scenery,2013.0,20131212.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,장률,(주)률필름
3208,20141114,쿼바디스,Quo Vadis,2014.0,20141210.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김재환,주식회사 단유필름
3209,20124031,콩가네,Kong's Family,2011.0,20130711.0,장편,개봉,한국,"가족,코미디",한국,가족,남기웅,(주)이웃엔터테인먼트
3210,20125343,캠퍼스 S 커플,Campus S Couple,2011.0,20140515.0,장편,개봉,한국,"멜로/로맨스,드라마,코미디",한국,멜로/로맨스,송창용,(주)레알컴퍼니
3211,20148007,카토 프로젝트,K’ARTO Project,2012.0,20140417.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김정욱,주식회사 마운틴픽쳐스
3212,20120424,춤추는 숲,Forest Dancing,2012.0,20130523.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,강석필,감어인 필름
3213,20149495,춘하추동 로맨스,Men and Women,2013.0,20141204.0,장편,개봉,한국,"코미디,멜로/로맨스,드라마",한국,코미디,오창민,곤씨네
3214,20136509,청춘예찬,Animal,2013.0,20140102.0,장편,개봉,한국,드라마,한국,드라마,최종운,화란지우
3215,20112082,챔프,Champ,2011.0,20110907.0,장편,개봉,한국,드라마,한국,드라마,이환경,(주)씨엘엔터테인먼트
3216,20110881,창수,Tumbleweed,2013.0,20131128.0,장편,개봉,한국,드라마,한국,드라마,이덕희,영화사 아람(주)
3217,20111911,지옥화,Fire in Hell,2012.0,20141106.0,장편,개봉,한국,드라마,한국,드라마,이상우,이상우필름
3218,20148929,좀비스쿨,Zombie School,2013.0,20140925.0,장편,개봉,한국,"공포(호러),액션",한국,공포(호러),김석정,(주)피터팬픽쳐스
3219,20130481,이쁜 것들이 되어라,The Legacy,2013.0,20140417.0,장편,개봉,한국,"코미디,드라마,가족,멜로/로맨스",한국,코미디,한승훈,한국영화아카데미
3220,20122786,응징자,Days of Wrath,2013.0,20131030.0,장편,개봉,한국,"액션,스릴러",한국,액션,신동엽,(주)엔브릭스
3221,20113671,원더풀 라디오,Love On-Air ,2011.0,20120105.0,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,권칠인,(주)영화사아이비젼
3222,20147282,우리별 일호와 얼룩소,The Satellite Girl and Milk Cow,2013.0,20140220.0,장편,개봉,한국,"애니메이션,판타지,어드벤처",한국,애니메이션,장형윤,(주)지금이 아니면 안돼
3223,20126673,우리는 그곳에 있었다,We Were There,2012.0,20130718.0,장편,개봉,한국,"다큐멘터리,어드벤처",한국,다큐멘터리,박준기,마젠타필름
3224,20100657,우리 이웃의 범죄,Sin of a Family,2010.0,20110407.0,장편,개봉,한국,"드라마,스릴러",한국,드라마,민병진,(주)뮤덴스
3225,20112589,오직 그대만,Always,2011.0,20111020.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,송일곤,(주)51k
3226,20101237,오월愛,No Name Stars,2010.0,20110512.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김태일,상구네 필름
3227,20101149,여의도,A Friend in Need,2010.0,20101202.0,장편,개봉,한국,스릴러,한국,스릴러,송정우,(주)제이에프엔터테인먼트
3228,20122781,여배우는 너무해,One Thing She Doesn't Have,2012.0,20140227.0,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,유정환,골든타이드픽처스(주)
3229,20110131,에일리언 비키니,Invasion of Alien Bikini,2011.0,20110825.0,장편,개봉,한국,"SF,코미디,액션",한국,SF,오영두,키노망고스틴
3230,20119970,어디로 갈까요?,Where are to Go?,2010.0,20130516.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,진승현,(주)진진엔터테인먼트필름
3231,20110734,애정만세,A Time to Love,2011.0,20110609.0,옴니버스,개봉,한국,멜로/로맨스,한국,멜로/로맨스,양익준,㈜인디스토리
3232,20113333,악인은 너무 많다,Too Many Villains,2011.0,20111215.0,장편,개봉,한국,"드라마,스릴러",한국,드라마,김회근,하이엔드 픽쳐스
3233,20138482,아유레디?,Are You Ready?,2013.0,20130926.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,허원,더패스오브라이프 
3234,20136043,신이 보낸 사람,Apostle ,2014.0,20140213.0,장편,개봉,한국,드라마,한국,드라마,김진무,주식회사 태풍코리아
3235,20139201,신의 한 수,The Divine Move,2014.0,20140703.0,장편,개봉,한국,"범죄,액션",한국,범죄,조범구,(주)메이스엔터테인먼트
3236,20133811,슬기로운 해법,Sage Solutions,2014.0,20140515.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,태준식,(주)시네마달
3237,20112181,스파이 파파,Spy Papa,2011.0,20111027.0,장편,개봉,한국,"코미디,가족",한국,코미디,한승룡,영화사 활동사진
3238,20127628,숫호구,Super Virgin ,2011.0,20140807.0,장편,개봉,한국,코미디,한국,코미디,백승기,(주)엣나인필름
3239,20132804,순천,Splendid but Sad Days,2013.0,20140904.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이홍기,(주)리키필름
3240,20138461,"소설, 영화와 만나다",Shorts Meet Shorts,2013.0,20131121.0,옴니버스,개봉,한국,드라마,한국,드라마,이상우,(재)전주국제영화제조직위원회
3241,20100050,섹스 볼란티어,Sex Volunteer,2009.0,20100422.0,장편,기타,한국,"드라마,다큐멘터리",한국,드라마,조경덕,아침해놀이
3242,20126624,설마 그럴리가 없어,The Heaven is Only Open to the Single! ,2012.0,20120621.0,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,조성규,(주)스폰지이엔티
3243,20136894,살인자,Murderer,2013.0,20140115.0,장편,개봉,한국,스릴러,한국,스릴러,이기욱,(주)홍필름
3244,20113458,손님1 첫번째 이야기,"Guest 1, The first story",2010.0,20111117.0,장편,개봉,한국,"공포(호러),스릴러",한국,공포(호러),이상화,굿픽처스
3245,20138404,아름다운 이별은 없다,There Is No Beautiful Farewell,2013.0,20130822.0,장편,개봉,한국,"스릴러,공포(호러)",한국,스릴러,이상화,(주)스넵쏘울
3246,20122466,짓,Jit,2013.0,20130925.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,한종훈,㈜리필름
3247,20136892,청야,Geochang Massacre - Bloody winter,2013.0,20131226.0,장편,개봉,한국,드라마,한국,드라마,김재수,(사)거창사건희생자유족회
3248,19920304,반고호,Van Gogh,1991.0,19921003.0,장편,개봉,프랑스,드라마,프랑스,드라마,모리스 피알라,고몽
3249,20100126,클래스,The Class,2008.0,20100401.0,장편,개봉,프랑스,드라마,프랑스,드라마,로랑 캉테,Haut et Court
3250,20158943,다이빙벨: 진실은 침몰하지 않습니다,The Truth Shall Not Sink with Sewol (Extended),2014.0,20150416.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이상호,아시아프레스
3251,20140191,플랑크 상수,Planck Constant,2014.0,20150430.0,장편,개봉,한국,"드라마,판타지,코미디",한국,드라마,조성규,(주)영화사 조제
