,movieCd,movieNm,url
41,20147176,상의원,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20141201_128%2F1417411276661OKusj_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
42,20224717,썬더버드,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220826_226%2F16615036179064Ovxx_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
43,20197853,잔칫날,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20201116_95%2F16055181004080PubD_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
44,20070010,마강호텔,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_93%2F1324532381162vF4nj_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
45,20040554,가족,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_132%2F1324565989317NuXLH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
46,20040613,알포인트,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_224%2F1324566944253ErNPq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
47,20040514,바람의 전설,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_97%2F1324580646404DYXl7_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
48,20175547,스윙키즈,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20181123_36%2F1542956277015JmOTd_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
49,20170942,인랑,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20180530_139%2F1527644339969WkMqB_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
50,20177005,레슬러,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20180430_206%2F1525051757819QHWi9_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
51,20160483,꿈의 제인,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170502_39%2F1493699170591BDvSH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
52,20157064,커튼콜,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20161118_37%2F1479430532676gYDiF_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
53,20156564,부산행,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200624_137%2F15929908359489lOON_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
