,movieCd,showTime
212,20184462,134.0
213,20183096,120.0
214,20173732,123.0
215,20174142,118.0
216,20145171,139.0
217,20130021,120.0
218,20136063,113.0
219,20148626,127.0
220,20139183,135.0
221,20136049,107.0
222,20050018,102.0
223,20126672,123.0
224,20129368,127.0
225,20127568,91.0
226,20110295,137.0
227,20112695,107.0
228,20110297,111.0
229,20196676,103.0
230,20142405,99.0
231,20184482,105.0
232,20208045,142.0
233,20196271,131.0
234,20170402,139.0
235,20162871,130.0
236,20153443,132.0
237,20140194,156.0
238,20144442,122.0
239,20130566,118.0
240,20149312,97.0
241,20137043,120.0
242,20134803,126.0
243,20128747,110.0
244,20124083,120.0
245,20113886,96.0
246,20113887,119.0
247,20113557,133.0
248,20216432,85.0
249,20200566,119.0
250,20198161,103.0
251,20153085,69.0
252,20196410,140.0
253,20202185,109.0
254,20190683,82.0
255,20209132,69.0
256,20201002,116.0
257,20190461,88.0
258,20183727,78.0
259,20211792,125.0
260,20184341,114.0
261,20166602,125.0
262,20199630,127.0
263,19880039,95.0
264,20194424,99.0
265,20090888,125.0
266,20198484,97.0
267,20168773,139.0
268,20217124,96.0
269,20226220,101.0
270,19780029,95.0
271,20217807,137.0
272,20181301,85.0
273,20183128,89.0
274,20174981,121.0
275,19990140,116.0
276,20143081,82.0
277,20090581,101.0
278,20190727,104.0
279,20196716,48.0
280,20186651,96.0
281,20178190,94.0
282,20169348,129.0
283,20160472,91.0
284,19710091,97.0
285,20150970,103.0
286,20150969,109.0
287,20173903,102.0
288,20150902,108.0
289,20144441,87.0
290,20140144,109.0
291,20132799,104.0
292,20204548,105.0
293,20223939,88.0
294,19990147,152.0
295,20185985,108.0
296,20185353,110.0
297,20198453,117.0
298,20172742,121.0
299,20167867,113.0
300,20192194,93.0
301,20180361,93.0
302,20171681,99.0
303,20180282,91.0
304,20165181,91.0
305,20158824,103.0
306,20148685,112.0
307,20134124,97.0
308,20123383,125.0
309,20127526,140.0
310,20124013,103.0
311,20101222,156.0
312,20138223,118.0
313,20183772,99.0
314,20209021,90.0
315,20203673,110.0
316,20147952,95.0
317,20134694,103.0
318,20176103,115.0
319,19580069,123.0
320,20180868,133.0
321,20170841,103.0
322,20151229,134.0
323,20010032,75.0
324,20156559,116.0
325,20155390,79.0
326,20159643,92.0
327,20157466,117.0
328,20141602,102.0
329,20190741,101.0
330,20189067,97.0
331,20172469,120.0
332,20176104,120.0
333,20159646,139.0
334,20102414,115.0
335,20070250,110.0
336,20050342,133.0
337,20193450,115.0
338,20168250,108.0
339,20161725,142.0
340,20145503,108.0
341,20134594,117.0
342,20101010,114.0
343,20090904,116.0
344,20090077,136.0
345,20070450,110.0
346,20070015,122.0
347,20060244,120.0
348,20050216,113.0
349,20040576,113.0
350,20040446,112.0
351,20189663,91.0
352,20113636,114.0
353,20110303,105.0
354,20119529,136.0
355,20090237,116.0
356,20070379,117.0
357,20192354,108.0
358,20183003,114.0
359,20177552,114.0
360,20124917,106.0
361,20101399,114.0
362,20180962,108.0
363,20174369,122.0
364,20178982,128.0
365,20161568,94.0
366,20151228,125.0
367,20139261,81.0
368,20199882,119.0
369,20193069,97.0
370,20209304,114.0
371,20197922,107.0
372,20179101,137.0
373,20136068,127.0
374,20137048,126.0
375,20125333,153.0
376,20124401,134.0
377,20113743,124.0
378,20110313,112.0
379,20102415,117.0
380,20100213,119.0
381,20119971,88.0
382,20090931,111.0
383,20090156,111.0
384,20071067,102.0
385,20070433,119.0
386,20070205,103.0
387,20060100,117.0
388,19750083,90.0
389,20050232,129.0
390,20050141,106.0
391,20050017,120.0
392,20040751,95.0
393,20040486,97.0
394,20030108,104.0
395,20020248,115.0
396,20020049,104.0
397,19990084,120.0
398,20090319,128.0
399,20151227,114.0
400,20141002,118.0
401,20148845,115.0
402,20215601,128.0
403,20184483,116.0
404,20197092,111.0
405,20188404,85.0
406,20000100,93.0
407,20182530,111.0
408,20170513,99.0
409,20179189,109.0
410,20157501,107.0
411,20139401,121.0
412,20130561,108.0
413,20121550,96.0
414,20124055,118.0
415,20110251,121.0
416,20072152,139.0
417,20217167,108.0
418,20227352,89.0
419,20199500,119.0
420,20181983,130.0
421,20179205,119.0
422,20100353,114.0
423,20072057,110.0
424,20181167,106.0
425,20185201,91.0
426,20142402,131.0
427,20150941,91.0
428,20223456,78.0
429,19990115,124.0
430,20226739,73.0
431,20200364,115.0
432,20209926,114.0
433,20193601,103.0
434,20176122,135.0
435,20145182,119.0
436,20200523,79.0
437,20191242,97.0
438,20182466,73.0
439,20225892,177.0
440,20144641,135.0
441,20136802,103.0
442,20136312,112.0
443,20148381,106.0
444,20124062,109.0
445,20100305,100.0
446,19820021,108.0
447,20100046,198.0
448,20060420,115.0
