,movieCd,prdtYear
106,20201815,2020.0
107,20217218,2020.0
108,20197434,2019.0
109,20193321,2019.0
110,20198414,2019.0
111,20195920,2019.0
112,20177539,2018.0
113,20176251,2018.0
114,20177538,2018.0
115,20153446,2017.0
116,20161481,2017.0
117,20158485,2017.0
118,20159647,2016.0
119,20167829,2016.0
120,20161366,2016.0
121,20150968,2016.0
122,20145507,2015.0
123,20156557,2015.0
124,20140703,2014.0
125,20134804,2014.0
126,20123501,2013.0
127,20138224,2013.0
128,20126091,2013.0
129,20124080,2012.0
130,20119627,2011.0
131,20090892,2010.0
132,20081209,2008.0
133,20070504,2007.0
134,20200295,2021.0
135,19990069,1999.0
136,20196264,2020.0
137,20186649,2020.0
138,20182590,2020.0
139,20209802,2020.0
140,20200304,2019.0
141,20197863,2019.0
142,20177784,2017.0
143,20180939,2019.0
144,20183002,2019.0
145,20192206,2019.0
146,20191106,2019.0
147,20185161,2019.0
148,20181198,2018.0
149,20174442,2018.0
150,20154908,2018.0
151,20173734,2017.0
152,20179383,2017.0
153,20174010,2017.0
154,20178781,2017.0
155,20170590,2017.0
156,20169643,2017.0
157,20162869,2017.0
158,20168161,2016.0
159,20161589,2016.0
160,20154910,2016.0
161,20161722,2015.0
162,20152541,2015.0
163,20157465,2015.0
164,20148048,2014.0
165,20148927,2014.0
166,20132482,2014.0
167,20124938,2013.0
168,20134413,2013.0
169,20050170,2001.0
170,20134582,2013.0
171,20124086,2012.0
172,20124400,2012.0
173,20113916,2011.0
174,20119515,2011.0
175,20110233,2011.0
176,20175865,2017.0
177,20212392,2022.0
178,20210168,2021.0
179,20190582,2020.0
180,20193666,2020.0
181,20191029,2019.0
182,20174681,2018.0
183,20180902,2018.0
184,20183423,2018.0
185,20160465,2017.0
186,20154909,2016.0
187,20154905,2016.0
188,20151022,2016.0
189,20148844,2014.0
190,20148841,2014.0
191,20138226,2013.0
192,20119628,2011.0
193,20119659,2010.0
194,20061214,2010.0
195,20050239,2005.0
196,19800019,1979.0
197,20050142,2004.0
198,20040778,2004.0
