,movieCd,auditNo,watchGradeNm,watchCd
3566,19750093,,12세이상관람가,12
3567,19750082,,12세이상관람가,12
3568,19738119,,청소년관람불가,19
3569,19730101,,12세이상관람가,12
3570,19720036,,12세이상관람가,12
3571,19560039,,,all
3572,19720115,,12세이상관람가,12
3573,19720048,,15세이상관람가,15
3574,19720108,,12세이상관람가,12
3575,19720107,,12세이상관람가,12
3576,19720104,,12세이상관람가,12
3577,20080259,2008-F111,전체관람가,all
3578,20127006,,,all
3579,19720170,,전체관람가,all
3580,19720028,,12세이상관람가,12
3581,19710141,,12세이상관람가,12
3582,19710139,,12세이상관람가,12
3583,19710138,,12세이상관람가,12
3584,19710134,,12세이상관람가,12
3585,19710005,,전체관람가,all
3586,19710110,,12세이상관람가,12
3587,19718156,,,all
3588,19710230,,,all
3589,19710026,,12세이상관람가,12
3590,19710086,,12세이상관람가,12
3591,19710080,,12세이상관람가,12
3592,19710079,,12세이상관람가,12
3593,19710078,,12세이상관람가,12
3594,20080893,,15세이상관람가,15
3595,19580061,,,all
3596,19670007,,전체관람가,all
3597,20081030,,,all
3598,19670062,,12세이상관람가,12
3599,19650041,,,all
3600,19600041,,12세이상관람가,12
3601,19600030,,,all
3602,19600101,,,all
3603,19580043,,,all
3604,19570036,,,all
3605,19750018,,12세이상관람가,12
3606,20112768,,12세이상관람가,12
3607,19960050,96-71,연소자관람불가,19
3608,19950036,95-9 ,고등학생이상관람가,15
3609,19930060,93-362,고등학생이상관람가,15
3610,19910072,91-307,연소자관람불가,19
3611,19880052,88-220,중학생이상관람가,12
3612,19950024,95-123,연소자관람불가,19
3613,19910011,91-127,연소자관람불가,19
3614,19990045,99-F046,18세관람가,19
3615,19970050,97-32,연소자관람불가,19
3616,19990086,99-030,모든 관람객이 관람할 수 있는 등급,all
3617,19770022,,전체관람가,all
3618,19800056,5893,연소자관람불가,19
3619,19780058,,12세이상관람가,12
3620,20100515,,미정,all
3621,19770049,,12세이상관람가,12
3622,19740126,,12세이상관람가,12
3623,19990049,99-F071,18세관람가,19
3624,19970207,97-200,연소자관람불가,19
3625,20119827,2013-F15,12세이상관람가,12
3626,20070257,2007-F258,15세이상관람가,15
3627,20124052,2013-MF00650 ,전체관람가,all
3628,19870013,86-178,연소자관람불가,19
3629,20180947,2018-MF01045,청소년관람불가,19
3630,20108120,,전체관람가,all
3631,20000059,2000-F314,전체관람가,all
3632,20127649,,,all
3633,20050251,2005-F222,18세관람가,19
3634,19750004,,전체관람가,all
3635,19750003,,전체관람가,all
3636,19740036,,12세이상관람가,12
3637,19748213,,,all
3638,19730001,,전체관람가,all
3639,19720035,,12세이상관람가,12
3640,19790096,,12세이상관람가,12
3641,19930013,93-151,연소자관람불가,19
3642,19650039,,12세이상관람가,12
3643,20101229,,15세이상관람가,15
3644,20101391,,기타,all
3645,19600060,,,all
3646,20112773,,,all
3647,19600011,,15세이상관람가,15
3648,19600081,,,all
