,peopleCd,peopleNm,movieCd,movieNm,cast
19219,20374637,박성무,20190323,새해전야,호미곶 뽀뽀커플
19282,20374662,이민준,20190323,새해전야,재헌 회사 동료들
19348,20374636,김훈종,20190323,새해전야,재헌 회사 동료들
19414,20374661,이한새,20190323,새해전야,재헌 회사 동료들
19479,20374660,손고은,20190323,새해전야,용찬 · 용미 부모
19544,20374659,이충민,20190323,새해전야,래환 동료 선수
19609,20374658,이향숙,20190323,새해전야,결혼박사 회사직원
19674,20374635,김성성,20190323,새해전야,돈까스집 직원
19740,20374634,지한솔,20190323,새해전야,승무원들
19802,20374633,세  현,20190323,새해전야,다인병원 간호사
19868,20374657,차재성,20190323,새해전야,효영 이웃 남편
19932,20374632,이희원,20190323,새해전야,윤대표 직원
19959,20374632,이희원,20190323,새해전야,경기 중계진 목소리 · 스탠드 인
19998,20374656,하선엽,20190323,새해전야,택배기사
20060,20374568,장범준,20190323,새해전야,효영 이웃 범준
20126,20374560,원숙희,20190323,새해전야,효영 이웃 범준맘
20192,20374567,민이솔,20190323,새해전야,클라이밍 아이
20255,20374559,권오경,20190323,새해전야,이강백
20321,20374566,이지하,20190323,새해전야,스키장 매니저
20383,10049950,예수정,20190323,새해전야,오월 엄마
20452,10067417,조한철,20190323,새해전야,윤대표
20525,20318162,최지연,20190323,새해전야,사진작가
20581,10049864,염혜란,20190323,새해전야,용미
20698,10005839,김지영,20190323,새해전야,남산타워 스카프녀
20770,10061614,정규수,20190323,새해전야,부동산 중개인
20810,20368200,이유진,20190323,새해전야,조깅족 리더
20831,20368200,이유진,20190323,새해전야,경기 중계진 목소리 · 스탠드 인
20847,20186095,이동휘,20190323,새해전야,용찬
20932,20367560,김수현,20190323,새해전야,효영 이웃 제주댁
21027,20367506,김소연,20190323,새해전야,재헌 회사 동료들
21060,20330272,박강섭,20190323,새해전야,인터뷰 기자
21136,20315281,안진영,20190323,새해전야,야오린 회사직원
21164,20315281,안진영,20190323,새해전야,통역어플 목소리
21220,20146968,김대진,20190323,새해전야,용찬 · 용미 부모
21305,20232246,손종학,20190323,새해전야,식물 도매상
21317,20333854,천두링,20190323,새해전야,야오린
21380,20112268,유인나,20190323,새해전야,효영
21448,20111976,유연석,20190323,새해전야,재헌
21557,20352559,안석현,20190323,새해전야,7세 용찬
21588,20133931,최수영,20190323,새해전야,오월
21685,20344517,박혜린,20190323,새해전야,어학원 수강생
21738,20344082,이문빈,20190323,새해전야,야오린 회사직원
21810,20225180,진우진,20190323,새해전야,첸 지사장
21866,20313334,김시영,20190323,새해전야,기합 코치
21955,20341366,김승희,20190323,새해전야,보조 사진작가
22031,20339447,이상아,20190323,새해전야,재헌 회사 동료들
22097,20338482,김선욱,20190323,새해전야,재헌 회사 동료들
22129,10037093,송상은,20190323,새해전야,송형사
22195,20231467,안세하,20190323,새해전야,백경장
22278,20337402,김민서,20190323,새해전야,지호 딸
22317,10003507,김강우,20190323,새해전야,지호
22446,10003606,김광규,20190323,새해전야,경찰서 민원실장
22474,20319637,김동영,20190323,새해전야,야오린 아빠
22553,20193928,전준영,20190323,새해전야,승무원들
22643,20112888,남보라,20190323,새해전야,효영 이웃
22715,10072436,시원,20190323,새해전야,진아 전남친
22722,10056633,이연희,20190323,새해전야,진아
22851,20193902,오상진,20190323,새해전야,라디오DJ | 리포터
22890,20339145,윤승훈,20182490,나랏말싸미,왕자3
22947,20212660,김준한,20182490,나랏말싸미,문종
23025,10037018,송강호,20182490,나랏말싸미,세종대왕
23112,10029474,박해일,20182490,나랏말싸미,신미 스님
23276,20344839,하시연,20182490,나랏말싸미,궁녀2
23368,20339156,윤슬,20182490,나랏말싸미,담벼락 여인
23431,20342993,김정한,20182490,나랏말싸미,스님2
23487,20337758,유동균,20182490,나랏말싸미,스님 4
23571,20238466,우지현,20182490,나랏말싸미,유교 선비 3
23572,20238466,우지현,20182490,나랏말싸미,유교 선비 3
23643,20280389,지웅배,20182490,나랏말싸미,일본사신단
23791,20344694,백수민,20182490,나랏말싸미,어린 세종
23803,10007518,남문철,20182490,나랏말싸미,최만리
23898,20314392,임성재,20182490,나랏말싸미,학열
24015,20341098,김슬기,20182490,나랏말싸미,해금
24131,10005319,김은미,20182490,나랏말싸미,초가집며느리
24160,20335792,강수호,20182490,나랏말싸미,
24271,20159085,김재훈,20182490,나랏말싸미,왕자2
24336,20145759,김경원,20182490,나랏말싸미,감찰상궁
24458,20164037,김영주,20182490,나랏말싸미,내불당 스님들
24571,20218390,전현수,20182490,나랏말싸미,내불당 스님들
24580,10062132,정인겸,20182490,나랏말싸미,김문
24699,20339796,정지우,20182490,나랏말싸미,궁녀1
24747,10061272,전미선,20182490,나랏말싸미,소헌왕후
24895,20151309,김태훈,20182490,나랏말싸미,유교선비1
25000,20345154,혜력스림,20182490,나랏말싸미,법고
25085,20345057,한용휘,20182490,나랏말싸미,내불당 스님들
25170,20344940,한건태,20182490,나랏말싸미,범령
25255,10037248,송창곤,20182490,나랏말싸미,제관
25338,20344664,임태린,20182490,나랏말싸미,초가집 여자아이
25422,20254895,이우주,20182490,나랏말싸미,10살 세손
25506,20344161,이재진,20182490,나랏말싸미,내불당 스님들
25591,20344059,이두석,20182490,나랏말싸미,유교선비2
25674,20343934,정찬훈,20182490,나랏말싸미,도끼신하
25759,20343877,윤택승,20182490,나랏말싸미,일본 사신단
