,movieCd,typeNm
807,20217334,장편
808,20217769,장편
809,20224494,장편
810,20224476,장편
811,20189802,장편
812,20196906,장편
813,19900210,장편
814,20100119,장편
815,19890075,장편
816,20090890,장편
817,20090035,장편
818,20020276,장편
819,20090123,장편
820,20225956,장편
821,20196673,장편
822,19730008,장편
823,20060200,장편
824,20070383,장편
825,20210590,장편
826,20119982,장편
827,20180825,장편
828,20138222,장편
829,20112018,장편
830,20152321,옴니버스
831,20191162,장편
832,20197391,장편
833,20217427,장편
834,19990285,장편
835,20226579,장편
836,20193642,장편
837,20201784,장편
838,20190268,장편
839,20226444,장편
840,20215048,장편
841,20199541,장편
842,20197483,장편
843,20180442,장편
844,20190522,장편
845,20162343,장편
846,20166127,장편
847,20101241,장편
848,20211476,장편
849,20191030,장편
850,20143502,장편
851,20100657,장편
852,20225897,장편
853,20218685,장편
854,20177266,장편
855,20122785,장편
856,20110004,장편
857,20223985,장편
858,19830085,장편
859,20192193,장편
860,20166384,장편
861,20010051,장편
862,20050129,장편
863,19900073,장편
864,20218885,장편
865,20194456,장편
866,20191105,옴니버스
867,19930305,장편
868,20060026,장편
869,19920001,장편
870,19920031,장편
871,19910079,장편
872,19910099,장편
873,19910031,장편
874,19890061,장편
875,19860070,장편
876,19860067,장편
877,19850061,장편
878,20200302,장편
879,20183374,장편
880,20187959,장편
881,20198323,장편
882,20189761,장편
883,20135946,장편
884,20210369,옴니버스
885,20130260,장편
886,20208006,장편
887,20176121,장편
888,20170386,장편
889,20070588,장편
890,20209134,장편
891,20196801,장편
892,20176442,장편
893,20183401,장편
894,20190703,장편
895,20134801,장편
896,20128691,장편
897,19990056,장편
898,20190299,장편
899,20166421,장편
900,20116046,장편
901,20100822,장편
902,20203286,장편
903,20216056,장편
904,20141608,장편
905,19990052,장편
906,20225114,장편
907,20196775,장편
908,20192599,장편
909,20184101,장편
910,20123384,장편
911,20143572,장편
912,20122786,장편
913,20224757,장편
914,20204664,장편
915,20040667,장편
916,19990252,장편
917,20090500,옴니버스
918,20225843,장편
919,20204432,장편
920,20182326,장편
921,20167903,장편
922,20185784,장편
923,20223986,장편
924,20188462,장편
925,20163842,장편
926,20161723,장편
927,20141060,장편
928,20156681,장편
929,20148670,장편
930,20119974,장편
931,20147130,장편
932,20124398,장편
933,20183744,장편
934,20176102,장편
935,20176101,장편
936,20179442,장편
937,20169730,장편
938,20151782,장편
939,19880149,장편
940,20175021,장편
941,20122832,장편
942,20136061,장편
943,20090841,장편
944,20072148,장편
945,20060175,장편
946,19980028,장편
947,20201692,장편
948,20196674,장편
949,19930048,장편
950,20200583,장편
951,20141591,장편
952,20147928,장편
953,20187322,장편
954,20194501,장편
955,20070130,장편
956,20209946,장편
957,20030120,장편
958,20185484,장편
959,20100169,장편
960,20101274,장편
961,20164481,장편
962,20090034,장편
963,20170442,장편
964,20134798,장편
965,20151224,장편
966,20133682,장편
967,20130929,장편
968,20127593,장편
969,20124079,장편
970,20128707,장편
971,20124051,장편
972,20112589,장편
973,20112082,장편
974,19790104,장편
975,20119989,장편
976,20119486,장편
977,20101009,장편
978,20040596,장편
979,20179346,장편
980,20138061,장편
981,20127633,장편
982,20100256,장편
983,20181166,장편
984,20191744,장편
985,20184481,장편
986,20189783,장편
987,20020191,장편
988,20172603,장편
989,20200846,장편
990,20150972,장편
991,20143510,장편
992,19990279,장편
993,20136894,장편
994,20127597,장편
995,20123201,장편
996,20129786,장편
997,20124399,장편
998,20125920,장편
999,20100661,장편
1000,20224304,장편
1001,20224574,장편
1002,20223991,장편
1003,20149501,장편
1004,20141611,장편
1005,20100055,장편
1006,20190481,장편
1007,20128610,장편
1008,20166301,장편
1009,20216224,장편
1010,20208828,장편
1011,20188144,장편
1012,20209297,장편
1013,19720026,장편
1014,20216753,장편
1015,20174264,장편
1016,19740064,장편
1017,20199022,장편
1018,20184572,장편
1019,20145501,장편
1020,20060257,장편
1021,20050120,장편
1022,20216894,장편
1023,20182981,장편
1024,20149961,장편
1025,20119891,장편
1026,20184133,장편
1027,20113308,장편
1028,20090169,장편
1029,20060427,장편
1030,20112552,장편
1031,20188083,장편
1032,20201688,장편
1033,20224634,장편
1034,20163019,장편
1035,20157464,장편
1036,20174265,장편
1037,20219466,장편
1038,20198978,장편
1039,20183390,장편
1040,20200490,장편
1041,20224598,장편
1042,20000011,장편
1043,19950234,장편
1044,20158982,장편
1045,20217298,장편
1046,20184541,옴니버스
1047,20209945,장편
1048,20159161,장편
1049,20149458,장편
1050,20136509,장편
1051,20123301,장편
1052,20070047,장편
1053,20050362,장편
1054,20125446,장편
1055,20000216,장편
1056,19990248,장편
1057,19970190,장편
1058,19970068,장편
1059,19930399,장편
1060,19930247,장편
1061,19930237,장편
1062,20219310,장편
1063,20219711,장편
1064,19730095,장편
1065,20175407,장편
1066,20080015,장편
1067,20070641,장편
1068,20217982,장편
1069,20218016,장편
1070,20206291,장편
1071,20193859,장편
1072,20142621,장편
1073,20136888,장편
1074,20122787,장편
1075,20090510,장편
1076,20080764,장편
1077,20070380,장편
1078,20070302,장편
1079,20070110,장편
1080,20048020,장편
1081,20030154,장편
1082,20030061,장편
1083,20010010,장편
1084,20010015,장편
1085,20010024,장편
1086,20000013,장편
1087,19990043,장편
1088,20129099,장편
1089,19980012,장편
1090,20127637,장편
1091,19950027,장편
1092,20060355,옴니버스
1093,20161762,장편
1094,20209949,장편
1095,20190521,장편
1096,20070603,장편
1097,20000037,장편
1098,20174225,장편
1099,20060081,장편
1100,20060055,장편
1101,20040651,장편
1102,20040489,장편
1103,20000024,장편
1104,20211566,장편
1105,20181164,장편
1106,20167007,장편
1107,20130574,장편
1108,20126671,장편
1109,20124075,장편
1110,20113533,장편
1111,20090875,장편
1112,20090304,장편
1113,20090193,장편
1114,20090318,장편
1115,20070382,장편
1116,20070348,장편
1117,20070095,장편
1118,20060068,장편
1119,20050237,장편
1120,20050007,장편
1121,20040675,장편
1122,20020045,장편
1123,20020141,장편
1124,20010092,장편
1125,19740127,장편
1126,20154802,장편
1127,20156748,장편
1128,20143511,장편
1129,20142856,장편
1130,20123662,장편
1131,20121549,장편
1132,20113835,장편
1133,20124061,장편
1134,20110494,장편
1135,20100834,장편
1136,20090927,장편
1137,20080400,장편
1138,20030420,장편
1139,20149796,옴니버스
1140,20100250,옴니버스
1141,20224720,장편
1142,20223722,장편
1143,20081716,장편
1144,20030116,장편
1145,20030003,장편
1146,20020278,장편
1147,20184571,장편
1148,20081001,장편
1149,20080014,장편
1150,20050233,장편
1151,20030410,장편
1152,20020055,장편
1153,20010006,장편
1154,20000055,장편
1155,19970023,장편
1156,19970034,장편
1157,19970045,장편
1158,19960035,장편
1159,19960037,장편
1160,19950034,장편
1161,19940018,장편
1162,19940017,장편
1163,19920051,장편
1164,19910049,장편
1165,19890036,장편
1166,19860059,장편
1167,20188393,장편
1168,20218758,장편
1169,20090605,장편
1170,20050029,장편
1171,20208400,장편
1172,20143512,장편
1173,20141610,장편
1174,20142407,장편
1175,20130501,장편
1176,19830023,장편
1177,19710100,장편
1178,20125406,장편
1179,20119618,장편
1180,20050276,장편
1181,20189076,장편
1182,19910084,장편
1183,20090125,장편
1184,19870056,장편
1185,19850030,장편
1186,19840051,장편
1187,19840016,장편
1188,20203204,장편
1189,20198182,장편
1190,20100059,장편
1191,19960082,장편
1192,20210690,장편
1193,20211568,장편
1194,20136869,장편
1195,19930143,장편
1196,20183848,장편
1197,20080871,장편
1198,20170001,장편
1199,20131102,장편
1200,20113381,장편
1201,20080834,장편
1202,20060387,장편
1203,20010040,장편
1204,20188824,장편
1205,20176061,장편
1206,20090562,장편
1207,20100302,장편
1208,20148619,옴니버스
1209,20224142,장편
1210,20090877,장편
1211,20211945,옴니버스
1212,20190482,장편
1213,20181087,장편
1214,20179230,장편
1215,19900105,장편
1216,20181103,장편
1217,20162021,장편
1218,20141613,장편
1219,20143252,장편
1220,20190601,장편
1221,20197520,장편
1222,20191041,장편
1223,20148460,장편
1224,20190726,장편
1225,20208361,장편
1226,20124047,장편
1227,20070552,장편
1228,20196601,장편
1229,20148631,장편
1230,19840049,장편
1231,19830096,장편
1232,19830102,장편
1233,19830099,장편
1234,19830097,장편
1235,19820096,장편
1236,19820065,장편
1237,20182861,장편
1238,20207567,장편
1239,20112808,장편
1240,20223124,장편
1241,20172204,장편
1242,20040640,장편
1243,20192696,장편
1244,20162722,장편
1245,20150025,장편
1246,20149314,장편
1247,20113671,장편
1248,20164174,장편
1249,20140704,장편
1250,20147929,장편
1251,20144721,장편
1252,20134591,장편
1253,20136060,장편
1254,20127595,장편
1255,19710136,장편
1256,20090822,장편
1257,20071064,장편
1258,20070096,장편
1259,20050323,장편
1260,20181821,장편
1261,20160484,장편
1262,20158358,장편
1263,20158822,장편
1264,20147803,장편
1265,20110985,장편
1266,20110193,장편
1267,20197121,장편
1268,20168754,장편
1269,20159286,장편
1270,20152782,장편
1271,20110601,장편
1272,20113411,장편
1273,20150901,장편
1274,20124039,장편
1275,20090042,장편
1276,20080663,장편
1277,20050354,장편
1278,20068576,장편
1279,20157431,장편
1280,20148842,장편
1281,20126583,장편
1282,20102416,장편
1283,20100813,장편
1284,20070434,장편
1285,20060292,장편
1286,20050178,장편
1287,19950057,장편
1288,20201965,장편
1289,20149062,장편
1290,20100793,장편
1291,20060250,장편
1292,20161364,장편
1293,20090054,장편
1294,20060134,장편
1295,20145396,장편
1296,20124936,장편
1297,20100214,장편
1298,20080264,장편
1299,20176345,장편
1300,20137981,장편
1301,20173932,장편
1302,20158482,장편
1303,20148588,장편
1304,20111914,장편
1305,19990166,장편
1306,20090874,장편
1307,20090329,장편
1308,20090308,장편
1309,20070639,장편
1310,20070493,장편
1311,20070381,장편
1312,20060412,장편
1313,20060369,장편
1314,20060051,장편
1315,20090225,장편
1316,20153741,장편
1317,20120801,장편
1318,20110612,장편
1319,20182280,장편
1320,19880210,장편
1321,19990309,장편
1322,20189122,장편
1323,20128506,장편
1324,20207566,장편
1325,20196270,장편
1326,20030162,장편
1327,20210243,장편
1328,20192623,장편
1329,20181096,장편
1330,19750143,장편
1331,19950264,장편
1332,20184962,장편
1333,20121241,장편
1334,20100281,장편
1335,20080046,장편
1336,19790040,장편
1337,20127027,장편
1338,20070497,장편
1339,20060276,장편
1340,20060210,장편
1341,20060077,장편
1342,20040537,장편
1343,19980042,장편
1344,20173865,장편
1345,20060230,장편
1346,20142406,장편
1347,20030036,장편
1348,19980025,장편
1349,19750084,장편
1350,20122702,장편
