,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys
160,20154910,터널,Tunnel,20160810,한국,5,(주)어나더썬데이
161,20161722,히야,HIYA,20160310,한국,5,(주)메이저타운
162,20152541,무수단,MUSUDAN,20160303,한국,13,골든타이드픽처스(주)
163,20157465,그놈이다,FATAL INTUITION,20151028,한국,10,상상필름(주)
164,20148048,베테랑,Veteran,20150805,한국,0,(주)외유내강
165,20148927,맨홀,Manhole,20141008,한국,8,(주)화인웍스
166,20132482,우는 남자,No Tears for the Dead,20140604,한국,0,다이스필름(주)
167,20124938,용의자,The Suspect,20131224,한국,0,(주)그린피쉬
168,20134413,소녀,Steel Cold Winter,20131107,한국,1,(주)영화사꽃
169,20050170,소녀,An Adolescent,20050708,일본,1,제로 픽쳐스
170,20134582,소원,Hope,20131002,한국,5,(주)필름모멘텀
171,20124086,스파이,The Spy: Undercover Operation,20130905,한국,0,(주)제이케이필름
172,20124400,간첩,The Spies,20120920,한국,5,(주)영화사울림
173,20113916,러브픽션,Love Fiction,20120229,한국,1,(주)삼거리픽쳐스
174,20119515,고지전,The Front Line,20110720,한국,5,(주)티피에스컴퍼니
175,20110233,화이트: 저주의 멜로디,White,20110609,한국,8,(주)두엔터테인먼트 
176,20175865,너와 극장에서,Cinema with You,20180628,한국,5,서울독립영화제
177,20212392,경아의 딸,Gyeong-ah’s Daughter,20220616,한국,5,주마등필름
178,20210168,F20,F20,20211006,한국,10,KBS
179,20190582,내가 죽던 날,THE DAY I DIED : UNCLOSED CASE,20201112,한국,5,오스카10스튜디오
180,20193666,오! 문희,Oh! My Gran,20200902,한국,7,(주)빅스톤픽쳐스
181,20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982 ",20191023,한국,5,(주)봄바람영화사
182,20174681,천사는 바이러스,Finding Angel,20210106,한국,5,전주 영상위원회
183,20180902,아워 바디,Our Body,20190926,한국,5,한국영화아카데미
184,20183423,오목소녀,Omok Girl,20180524,한국,5,㈜인디스토리
185,20160465,메리 크리스마스 미스터 모,Merry Christmas Mr. Mo,20171214,한국,7,영화사 달리기
186,20154909,살인자의 기억법,MEMOIR OF A MURDERER,20170906,한국,4,(주)쇼박스
187,20154905,가려진 시간,VANISHING TIME: A BOY WHO RETURNED,20161116,한국,5,(주)바른손이앤에이
188,20151022,걷기왕,Queen of Walking,20161020,한국,5,㈜인디스토리
189,20148844,손님,The Piper,20150709,한국,3,(주)유비유필름
190,20148841,헬머니,Granny's Got Talent,20150305,한국,7,(주)전망좋은 영화사
191,20138226,우아한 거짓말,Thread of Lies,20140313,한국,5,(주)유비유필름
192,20119628,마마,Mama,20110601,한국,5,씨네주(유)
193,20119659,량강도 아이들,"Ryang-kang-do: Merry Christmas, North!",20111117,한국,7,(주)영화사샘
194,20061214,작은 연못,A Little Pond,20100415,한국,5,유한회사 제이필름
195,20050239,너는 내 운명,You Are My Sunshine,20050923,한국,1,(주)영화사봄
196,19800019,너는 내 운명,You Are My Destiny,19800328,한국,5,한림영화
197,20050142,여고괴담 4 : 목소리,The Voice,20050715,한국,8,(주)씨네이천
198,20040778,마파도,Mapado: Island of Fortunes,20050310,한국,7,코리아 엔터테인먼트
199,20040657,여선생 VS 여제자,Lovely Rivals,20041117,한국,7,(주)좋은영화
200,20030125,봄 여름 가을 겨울 그리고 봄,"Spring, Summer, Fall, Winter And Spring",20030919,한국,5,(주)엘제이필름
201,20020006,마들렌,Madeleine,20030110,한국,5,프리시네마(주)
202,20010005,나쁜 남자,Bad Guy,20020110,한국,5,(주)엘제이필름
203,20010037,와이키키 브라더스,Waikiki Brothers,20011026,한국,5,(주)명필름
204,20010047,번지점프를 하다,Bungee Jumping Of Their Own,20010202,한국,5,눈엔터테인먼트(주)
205,20000012,실제상황,Real Fiction,20000624,한국,5,(주)신승수프로덕션
206,20205986,연애 빠진 로맨스,Nothing Serious,20211124,한국,1,(주)씨제이이엔엠
207,20173202,버닝,BURNING,20180517,한국,13,파인하우스필름(주)
208,20206257,브로커,Broker,20220608,한국,5,영화사 집
209,20224882,마녀(魔女) Part2. The Other One,The Witch: Part 2. The Other One,20220615,한국,0,(주)영화사 금월
210,20191243,장르만 로맨스,Perhaps Love,20211117,한국,5,(주)비리프
211,20196284,윤희에게,Moonlit Winter,20191114,한국,1,영화사 달리기
