companyId,movieId
4 ,102288 
4 ,104485 
4 ,105067 
4 ,106573 
4 ,115054 
4 ,115425 
4 ,119094 
4 ,120843 
4 ,121357 
4 ,131764 
4 ,139170 
4 ,140470 
4 ,140472 
4 ,157336 
4 ,161565 
4 ,177474 
4 ,194509 
4 ,198227 
4 ,215579 
4 ,242683 
4 ,271969 
4 ,284296 
4 ,292510 
4 ,318846 
4 ,343934 
5 ,66 
5 ,624 
5 ,1245 
5 ,1406 
5 ,2001 
5 ,2355 
5 ,2698 
5 ,8051 
5 ,9267 
5 ,9405 
5 ,9945 
5 ,9957 
5 ,10189 
5 ,10395 
5 ,10560 
5 ,10661 
5 ,10796 
5 ,11078 
5 ,11321 
5 ,11428 
5 ,12618 
5 ,14886 
5 ,15170 
5 ,15392 
5 ,25728 
5 ,26009 
5 ,26686 
5 ,31306 
5 ,31901 
5 ,36739 
5 ,37911 
5 ,38700 
5 ,42756 
5 ,43199 
5 ,43378 
5 ,43497 
5 ,44463 
5 ,45239 
5 ,49498 
5 ,52360 
5 ,65603 
5 ,67911 
5 ,78256 
5 ,87826 
5 ,92285 
5 ,99377 
5 ,103168 
5 ,108969 
5 ,126083 
5 ,138308 
5 ,164558 
5 ,177440 
5 ,257344 
5 ,270015 
5 ,299687 
5 ,333484 
6 ,244 
6 ,965 
6 ,1938 
6 ,10785 
6 ,11360 
6 ,15264 
6 ,19096 
6 ,20153 
6 ,24751 
6 ,25407 
6 ,25508 
6 ,25549 
6 ,27114 
6 ,27544 
6 ,27978 
6 ,28293 
6 ,28561 
6 ,30183 
6 ,31152 
6 ,31167 
6 ,31445 
6 ,31713 
6 ,32684 
6 ,33030 
6 ,33630 
6 ,34650 
6 ,35954 
6 ,35955 
6 ,37294 
6 ,40765 
6 ,41462 
6 ,42191 
6 ,42286 
6 ,43149 
6 ,43367 
6 ,43456 
6 ,43511 
6 ,43759 
6 ,43779 
6 ,43875 
6 ,44190 
6 ,49503 
6 ,51571 
6 ,52359 
6 ,53798 
6 ,61138 
6 ,65282 
6 ,65503 
6 ,68143 
6 ,73430 
6 ,73492 
6 ,73595 
6 ,73983 
6 ,74420 
6 ,74437 
6 ,74911 
6 ,76483 
6 ,84971 
