keywordId,movieId
331 ,100274 
331 ,339342 
331 ,339692 
332 ,49877 
334 ,605 
334 ,6589 
334 ,12335 
334 ,27793 
334 ,145316 
339 ,691 
339 ,2661 
339 ,9381 
339 ,19953 
339 ,26158 
339 ,39288 
339 ,42716 
339 ,69977 
339 ,166643 
339 ,257081 
345 ,806 
345 ,9461 
345 ,32613 
345 ,151848 
351 ,750 
351 ,10994 
351 ,26914 
351 ,55712 
351 ,67866 
352 ,12715 
352 ,22803 
352 ,118953 
367 ,4887 
367 ,8051 
374 ,471 
374 ,708 
378 ,471 
378 ,483 
378 ,541 
378 ,636 
378 ,687 
378 ,708 
378 ,885 
378 ,1554 
378 ,1623 
378 ,1883 
378 ,1896 
378 ,2100 
378 ,5971 
378 ,8847 
378 ,9768 
378 ,10994 
378 ,11615 
378 ,12088 
378 ,13012 
378 ,13161 
378 ,13633 
378 ,14105 
378 ,18555 
378 ,19277 
378 ,20028 
378 ,21950 
378 ,22910 
378 ,25066 
378 ,25476 
378 ,26376 
378 ,27725 
378 ,31979 
378 ,61908 
378 ,73120 
378 ,74420 
378 ,80389 
378 ,83588 
378 ,84496 
378 ,118534 
378 ,144784 
378 ,158739 
378 ,174278 
378 ,178569 
378 ,192136 
378 ,218329 
378 ,229638 
378 ,233470 
378 ,333381 
378 ,339692 
378 ,407806 
378 ,429200 
379 ,313922 
380 ,2196 
380 ,8292 
380 ,8744 
380 ,32081 
380 ,80318 
380 ,118446 
380 ,274820 
380 ,369557 
380 ,381040 
383 ,524 
383 ,541 
383 ,1950 
383 ,5521 
383 ,15264 
383 ,19342 
383 ,79778 
383 ,297702 
383 ,370835 
385 ,72693 
387 ,291 
387 ,1538 
387 ,3509 
387 ,9270 
387 ,11775 
387 ,14043 
387 ,19294 
387 ,26725 
387 ,29058 
387 ,44932 
387 ,53949 
387 ,55720 
387 ,74911 
387 ,75595 
387 ,86207 
387 ,103432 
387 ,339692 
388 ,237 
388 ,8009 
388 ,8557 
388 ,11235 
388 ,11316 
388 ,12808 
388 ,43875 
389 ,18392 
390 ,1282 
390 ,1380 
390 ,1498 
390 ,27286 
391 ,11884 
392 ,253 
392 ,667 
392 ,682 
392 ,691 
392 ,707 
392 ,708 
392 ,714 
392 ,874 
392 ,2977 
392 ,3581 
392 ,4889 
392 ,8696 
392 ,11109 
392 ,11839 
392 ,11938 
