num,movie,sentence,score
140,리멤버,이성민배우 초반 안경테안에 렌즈없는 무테였다가 중반부 부터 렌즈 추가됬네요mz세대들이 이해하기 어려운 역사일듯 싶네요cgv8천원 스피드쿠폰할인 받아서 7천원(카드사7천원할인)무료관람했네요 구형포르쉐한대 충돌한거빼고 저예산 제작비 영화같아요 신선한 스토리가 아니어서 다소 아쉬웠어요 80대 분장이라고 하기에는 분장이 부족하고 배우의 원래 피부나이가 분장위로 드러나서 노인이라 하기에 설득력이 떨어졌어요,6
141,낮에는 덥고 밤에는 춥고,좋은영화 입니다~~^^,10
142,리멤버,"연기자들의 연기력은 매우 좋았으나 리얼리티가 좀 떨어지는 점, 물론 영화니까. 그래도 친일파 척결은 보기 좋았다",6
143,리멤버,이렇게 몰입해서 본적 오랜만이네요 재미요소도있고 손에 땀을 쥐게하는 영화였습니다 연기도 좋았어요,10
144,블랙 아담,에효..슬프다슬퍼...ㅜㅜ,4
145,금홍아 금홍아,열연은 인정하는데 너무 옛날 영화라 볼맛이 안남,8
146,닥터 스트레인지: 대혼돈의 멀티버스,정말 재미가 있습니다.,10
147,아인보: 아마존의 전설,생각보다 스토리 진행은 빠른데 너무 뻔한얘기를 어린아이 시점에서 표현  ..그냥그랬네요,6
148,20세기 소녀,순수했던 그때가 좋았지,10
149,공조2: 인터내셔날,악역이 너무 너무... 약함...,2
150,리멤버,소름 그 자체...정말 재밌습니다.흥행 성공을 응원합니다.,10
151,콜,"이런류의 소재로 모범 지표가 되는 영화가 2000년도에 나온 &amp;#39;프리퀀시&amp;#39; 라는 작품을 들 수 있는데, 저것과는 정 반대로 이 영화는 주인공 설정을 &amp;#39;빌런&amp;#39; 으로 잡았는지 클리쉐 비틀기를 한 것인지 결말이 어벙벙하다. 감독의 의도가 이게 맞다면 성공했다고 본다. 처음부터 끝까지 전종서가 다 해먹는 영화이기 때문이다.",7
152,늑대사냥,정소민 걔는 연기 진짜 개 못하네 뭘 그리 멀뚱멀뚱 대고 있냐 연기 이따위로 하고 얼마나 받은거야,4
153,인생은 아름다워,"왜?...100만명 밖에 안됐는지...영화 시작 하자마자 5분만에 눈물 찡...10분에 한번씩 울리고 웃긴 영화.4050에게는 공감 할 포인트가 영화 곳곳에 존재한다.노래,장소,그때의 유행,그리고 지극히 현실적인 지금의 삶도 너무나 공감한다.1000만 찍었으면 하는 바람이다.",10
154,잭 스나이더의 저스티스 리그,말해 무엇하나? 보면 볼수록 빠져든다.,10
155,20세기 소녀,왜 죽은건지는 안나오지만 너무 좋았던 영화... 러닝타임이 2시간 1분인게 진짜 ㄹㅇ 충격....,10
156,4월 이야기,이와이 슌지 미학의 총체..멈추어라! 그대 너무도 아름답다..,10
157,공조2: 인터내셔날,그나마 진선규 연기 때문에 재미있어요.그냥 케이블드라마 본 느낌 ㅠ본편 뛰어넘는 속편 없다는 룰을 지킨 영화.,6
158,늑대사냥,감독의 명성으로 좋은 배우들 많이 섭외 한건 좋은데그배우들이 아깝지 않게 스토리를 잘 썼어야 하는데...제일 중요한 스토리가 망이라... .스토리 보단 고어물 좋아하는 취향은 좋아 할까나...일단 난 스토리 개연성이 어느정도는 되야....난 별로당...,2
159,20세기 소녀,오열하면서 봤어요..,10
160,늑대사냥,아니 새로운시도고 하드코어액션 좋았는데강화인간이 터미네이터도 아니고 발소리 쾅쾅거리는거 왜그랬어요? 강화인간을죽인 성동일을죽인 주인공은 초반에 왜 맥없이 당했고? ,6
161,루시,스칼렛 요한슨 얼굴 좋아하는 사람만 보세요 딱 그정도 굳이 돈주고 보지 말고 구독둥인 스트리밍 서비스에 있으면 보는 것을 추천 ,1
162,공조2: 인터내셔날,다니엘은 왜 나옴? 존나 노잼,1
163,자백,원작을 보고간 입장에서 만점을 주기 어렵다. 영상이 대화가 주를 이루다보니 막판에는 졸렸습니다.,7
164,블랙 아담,완전 재밌는데오ㅡ근데 왜이렇게 관객수가 적죠?..나도 볼까말까 고민하다 중딩아들과 봤는데 두시간이 후딱 지나갔네요^^,10
165,헤어질 결심,"노잼,어거지설정ㅋㅋㅋ평론가병걸린애들이좋아할만한영화",1
166,인터스텔라,순순히 침묵으로 들어가지 않고 적당한 긴장감과 엄청난 영상미 ost를 보여주는 영화 최고,10
167,인생은 아름다워,유치할 것 같아서 안 보려고 하다가 봤는데 손수건 안들고갔으면 큰일날뻔~  스토리는 살짝 유치하고 중간중간 손발이 오그라들기도하는데 배우들 연기도 좋고 음악도 너무 좋았어요,8
168,리멤버,지끔태극기영감들ㅋ사실닼ㅋ친일파임ㅋㅋ진짜시러~ㅋ,10
169,리멤버,반쯤 본거 같은데 재미가 너무없어서 나가고싶은데 다섯시 약속이라 나가도 할게 없다 ....,1
170,늑대사냥,텅 빈 맥락에 가득 채운 피,1
171,컴백홈,가볍게 크게 기대하지말고 보기엔 추천합니다 ^^  그냥 첨부터 끝까지 저는 김범수 배우님만  보였어요ㅋㅋㅋ,8
172,공조2: 인터내셔날,진짜 개잼있다 ㅋ공조 3 나왓으면 좋겠다 ㅋ1도 잼잇엇는대 2는 더잼잇다 ㅋㅋ,10
173,자백,간만에 잘 만들어진 스릴러를 본 느낌. 이야기에 걸맞는 필름톤과 미장센이 좋았음. 그리고 나나 첨 봤는데 왤케 이쁨?,9
174,늑대사냥,"새로운 시도는 좋았습니다 후속작도 염두에 두고 만든 모양인데 다음 편은 투자 안들어 올 겁니다왜냐면 결과물이 너무 안좋았으니까요 이런 영화는 장면 연출, 효과도 중요하지만 결국은 이야기가 정말 중요합니다 굳이 앞부분에 쓸데 없이 사람 죽이고 그런 건 뭐 고어 연출로 한 모양인데...의미가 없습니다 정말 군더더기가 많은 영화입니다 어쩔 수 없이 할리우드 영화와 비교를 할 수 밖에 없는데 많이 짜치네요 많이 과합니다 그렇게 공포스럽지도 않고 잔인하다는 느낌도 없습니다특효가 많이 짜쳐요 음향도 마찬가집니다 좀더 공을 들였더라면 좋았을텐데 많이 부족하네요죽이고 찌르고 피와 살이 난무한다고 해서 고어물이 아닙니다 분위가 주는 공포감도 있는데 전혀 없습니다 이 영화 역시 연출의 부재, 딱히 배우들 연기 볼 것도 없네요 그냥 다 죽여버려요 ㅋㅋㅋ너 뒤지고 넌 아직 안죽었네? 너도 뒤져야지 이러는 영화입니다 뭐 b급 감성으로 생각하면 그렇게 나쁘진 않습니다만 추천하고 싶지 않네요 시간 낭비입니다 딱히 생각 나는 건 레지던트 이블의 열화, 열화판 아주 매우 열화판. 쓸데 없이 배우들이 많이 나오는 영화입니다 ",5
175,리멤버,기득권이 있는 친일파의 주장을 젊은 세대들은 어떻게 받아들일까?친일의 논리는 말도 안된다는 것을 이해하길 바라며….더불어 국립현충원안장 반대운동의 주인공인 ㅂㅅㅇ씨에 대한 시원한 평가에 박수를 보냅니다.,10
176,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,한 남자의 지독한 사랑과 우정을 더해가는 다섯 친구들 이야기 저 대학생이고 웬만한 일로 잘 안 우는데 마지막에 각자 생각하는 청춘이 무엇인지 말할 때 울었어요 으헝ㅠ 힘들 때마다 보고 싶은 인생 영화????,10
177,서유기 2 - 선리기연,한번도 보지않은 사람은 있어도 한번만 본 사람은 없다고 단언할 수 있는 갓띵작,10
178,캡틴 아메리카: 윈터 솔져,캡틴아메리카 시리즈가 제일 재밌다,10
179,리멤버,현 집권당의 모 의원이 꼭 감상했으면 바램을 하게 만드는 영화다. 일제의 식민사관에 쇠뇌 당한 것조차 자각하지 못한데다가 더욱이 아연실색하는 점은 대중에게 역사 공부 좀 더 하라는 그릇된 역사 인식과 역사관에 입각한 헛소리에 극중 주인공처럼 형언할 수 없는 분노감이 치밀어 오르고 적개심을 띄게 된다. 이땅의 얼마나 많은 오타니 마사오의 후손들이 저리 헛소리를 해대며 국민을 폄훼하고 모욕하며 떳떳하다며 고개를 빳빳이 쳐들고 살아 가는 것일까를 생각하면 피가 꺼꾸로 솟구쳐 오른다. 치욕스런 역사를 잊은 국민에게 미래가 없다 라는 명언이 무색하리 만치 지금 한국은 수치스럽고 비극적이며 야만적인 일제의 만행을 여전히 청산치 못하고 있으며 더러운 친일파의 후손들이 일제의 앞잽이를 자처한 덕택으로 떨어진 콩고물을 향유하며 사회 각부분에서 그 더러운 검은 미소를 짓고 있다는 현실이 너무나 구역질이 나는 지경이다. 대한 민국이 해방된지 70여 년이 훌쩍 지났지만 여전히 일제 식민지 문화에서 벗어나지 못하는 것은 제대로 된 역사의 과오를 청산치 못했기 때문이고 친일파의 후손들이 여전히 사회의 기득권층으로 남아 사회를 좌지우지 하고 있기 때문이라고 생각한다.,10
180,리멤버,친일파 숙청은 매우 통쾌했다.요즘같이 나라에 친일파가 득세하는 시기에 딱 맞는듯..,10
181,인생은 아름다워,시도는 좋았으나 뮤지컬로 진입하는 구간이 어색해서 흐름이 끊김.아내의 상황을 작위적으로 안 좋게 꾸민듯한 여력이 여실히 보이고 첫사랑 찾으러 가는 내용 없이도 스토리 진행에 전혀 문제 없음오히려 남편과 아내의 예전 연애에 초점을 맞춰서 우리 그때 많이 사랑했지 같은 주제로 갔으면 제일 좋았을 거라 생각함억지가 너무 많아서 좋게 볼 수가 없음,5
182,자백,"잘 짜여진 스토리, 예상을 뛰어넘는 재미!홍보가 많이 안 돼서 큰 기대없이 봤는데 재밌네요ㅎㅎ",10
183,리멤버,시원하게 보고 갑니다기대없이 보고 만족합니다,10
184,자백,연출 좋고 잘 만든 영화긴했는데 배우들 연기가 좋다니 나랑 같은 영화 본거 맞냐 ,7
185,정직한 후보2,에피소드가 약하다. 1보다 부족함. 킬타임,5
